구  분,,,월관람객수,,,,"동,식물원",,,,,,,,돌고래쇼,,,,,,,,테마가든,,,,,,,,캠프입장,,,,,,,,자연학습교실,,,,,,,,기타,,,,,,,
,,,,,,,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계
날짜,요일,날씨,유료합계,무료합계,총계,외국인계,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,
2019.1.1,화,구름 조금,919,605,"1,524",54,912,770,48,94,54,0,581,"1,493",7,6,0,1,0,0,24,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.2,수,맑음,175,459,634,11,175,147,14,14,11,0,446,621,0,0,0,0,0,0,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.3,목,맑음,182,595,777,16,182,153,8,21,16,0,579,761,0,0,0,0,0,0,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.4,금,구름 많음,181,509,690,3,176,139,14,23,3,0,484,660,5,5,0,0,0,0,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.5,토,,740,861,"1,601",16,734,615,32,87,16,0,842,"1,576",6,6,0,0,0,0,19,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.6,일,,"1,013","1,044","2,057",17,991,821,34,136,17,0,"1,023","2,014",22,21,0,1,0,0,21,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.7,월,,213,560,773,26,209,154,8,47,26,0,550,759,4,4,0,0,0,0,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.8,화,,152,652,804,5,147,123,9,15,5,0,642,789,5,2,3,0,0,0,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.9,수,구름 많음,100,429,529,7,100,82,10,8,7,0,417,517,0,0,0,0,0,0,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.10,목,구름 많음,203,636,839,16,201,158,19,24,16,31,614,815,2,1,0,1,0,0,22,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.11,금,,248,566,814,29,246,196,26,24,29,0,541,787,2,2,0,0,0,0,25,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.12,토,맑음,839,"1,016","1,855",5,837,711,42,84,5,30,"1,003","1,840",2,2,0,0,0,0,13,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.13,일,,887,793,"1,680",56,875,751,31,93,56,30,762,"1,637",12,12,0,0,0,0,31,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.14,월,,112,321,433,5,109,91,11,7,4,0,302,411,3,2,0,1,1,0,19,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.15,화,,119,374,493,5,117,92,11,14,5,0,348,465,2,2,0,0,0,0,26,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.16,수,맑음,169,505,674,12,167,139,11,17,12,0,483,650,2,2,0,0,0,0,22,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.17,목,맑음,544,676,"1,220",9,544,366,18,160,9,301,636,"1,180",0,0,0,0,0,0,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.18,금,맑음,238,572,810,6,237,179,20,38,6,0,553,790,1,1,0,0,0,0,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.19,토,흐림,886,852,"1,738",21,872,725,35,112,21,0,804,"1,676",14,12,1,1,0,0,48,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.20,일,맑음,"1,139",925,"2,064",14,1127,958,28,141,14,0,910,"2,037",12,12,0,0,0,0,15,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.21,월,구름 조금,214,517,731,6,210,143,24,43,6,0,507,717,4,4,0,0,0,0,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.22,화,구름 조금,300,688,988,4,282,240,16,26,4,0,640,922,18,17,1,0,0,38,48,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.23,수,맑음,213,543,756,11,211,170,11,30,11,0,520,731,2,2,0,0,0,0,23,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.24,목,구름 조금,290,720,"1,010",4,281,224,11,46,4,0,689,970,9,7,1,1,0,0,31,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.25,금,,256,626,882,16,256,198,25,33,16,0,590,846,0,0,0,0,0,0,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.26,토,,885,"1,138","2,023",11,864,719,35,110,11,73,"1,117","1,981",21,17,0,4,0,0,21,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.27,일,,"1,400",991,"2,391",32,1376,"1,174",42,160,32,0,958,"2,334",24,23,0,1,0,0,33,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.28,월,,223,480,703,7,223,191,12,20,7,0,469,692,0,0,0,0,0,0,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.29,화,구름 조금,313,625,938,22,312,266,20,26,22,0,616,928,1,1,0,0,0,0,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.30,수,구름 많음,215,501,716,10,213,171,24,18,10,0,491,704,2,2,0,0,0,0,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1.31,목,구름 많음,"1,089",535,"1,624",11,1087,886,29,172,11,934,509,"1,596",2,2,0,0,0,0,26,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.2.1,금,맑음,168,458,626,15,163,133,15,15,15,0,447,610,5,4,0,1,0,0,11,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.2.2,토,구름 많음,780,850,"1,630",30,772,673,23,76,30,32,828,"1,600",8,5,1,2,0,0,22,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.2.3,일,비,148,257,405,1,148,129,6,13,1,30,238,386,0,0,0,0,0,0,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.2.4,월,,"1,883",667,"2,550",78,1875,"1,624",59,192,78,0,634,"2,509",8,7,0,1,0,0,33,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.2.5,화,,"3,064",791,"3,855",200,3041,"2,599",101,341,200,30,775,"3,816",23,20,0,3,0,0,16,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.2.6,수,,"2,453","1,593","4,046",83,2428,"2,037",98,293,83,0,"1,566","3,994",25,20,0,5,0,0,27,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.2.7,목,구름 조금,433,563,996,9,428,334,13,81,9,0,543,971,5,4,0,1,0,0,20,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.2.8,금,,395,376,771,11,395,143,203,49,11,192,371,766,0,0,0,0,0,0,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.2.9,토,맑음,910,861,"1,771",21,897,735,40,122,21,63,845,"1,742",13,10,0,3,0,0,16,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.2.10,일,구름 많음,849,803,"1,652",44,844,698,53,93,44,0,783,"1,627",5,4,1,0,0,0,20,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.2.11,월,맑음,231,501,732,9,228,181,18,29,9,0,493,721,3,2,0,1,0,0,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.2.12,화,구름 조금,270,771,"1,041",30,270,221,23,26,30,0,761,"1,031",0,0,0,0,0,0,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.2.13,수,맑음,254,663,917,12,254,199,22,33,12,0,643,897,0,0,0,0,0,0,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.2.14,목,구름 많음,706,584,"1,290",27,700,444,33,223,27,0,570,"1,270",6,4,0,2,0,0,14,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.2.15,금,흐림,130,457,587,1,130,109,11,10,1,0,426,556,0,0,0,0,0,0,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.2.16,토,맑음,987,902,"1,889",22,970,795,47,128,22,0,877,"1,847",17,15,0,2,0,0,25,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.2.17,일,맑음,"1,788","1,046","2,834",50,1769,"1,489",44,236,50,0,"1,027","2,796",19,18,0,1,0,0,19,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.2.18,월,,520,564,"1,084",34,517,391,42,84,34,0,542,"1,059",3,3,0,0,0,0,22,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.2.19,화,,106,408,514,6,101,77,10,14,6,0,396,497,5,3,0,2,0,0,12,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.2.20,수,,250,582,832,9,246,190,27,29,9,0,556,802,4,4,0,0,0,0,26,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.2.21,목,맑음,374,624,998,10,369,286,33,50,10,0,609,978,5,2,0,3,0,0,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.2.22,금,구름 많음,373,632,"1,005",9,365,295,34,36,9,0,581,946,8,7,1,0,0,0,51,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.2.23,토,맑음,"2,638","1,448","4,086",26,2562,"2,193",88,281,26,2,"1,412","3,974",76,66,0,10,0,0,36,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.2.24,일,,"5,261","2,205","7,466",118,5163,"4,304",164,695,117,0,"2,137","7,300",98,89,1,8,1,0,68,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.2.25,월,,750,678,"1,428",29,736,572,45,119,29,35,645,"1,381",14,8,1,5,0,0,33,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.2.26,화,,"1,273","1,012","2,285",14,1258,988,67,203,14,0,962,"2,220",15,14,0,1,0,0,50,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.2.27,수,구름 많음,"1,716",879,"2,595",23,1695,"1,266",63,366,23,529,857,"2,552",21,17,0,4,0,0,22,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.2.28,목,구름 조금,"1,210",925,"2,135",2,1194,905,81,208,0,0,904,"2,098",16,14,0,2,2,0,21,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.3.1,금,,"4,730","1,534","6,264",23,4684,"3,831",206,647,23,107,"1,465","6,149", 46 , 37 , - , 9 , - , - , 69 , 115 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.3.2,토,,"4,064","1,427","5,491",56,3995,"3,302",156,537,56,0,"1,381","5,376", 69 , 56 , - , 13 , - , - , 46 , 115 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.3.3,일,,"3,160","1,233","4,393",21,3086,"2,639",134,313,19,0,"1,187","4,273", 74 , 64 , 1 , 9 , 2 , - , 46 , 120 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.3.4,월,,356,466,822,2,352,334,9,9,2,0,435,787, 4 , 4 , - , - , - , - , 31 , 35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.3.5,화,구름 많음,213,436,649,16,210,205,2,3,16,0,425,635, 3 , 3 , - , - , - , - , 11 , 14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.3.6,수,구름 많음,130,383,513,2,127,124,0,3,2,0,367,494, 3 , 3 , - , - , - , - , 16 , 19 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.3.7,목,,516,680,"1,196",4,498,487,4,7,4,0,658,"1,156", 18 , 18 , - , - , - , - , 22 , 40 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.3.8,금,,792,830,"1,622",18,776,748,2,26,18,0,796,"1,572", 16 , 16 , - , - , - , - , 34 , 50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.3.9,토,,"12,602","5,231","17,833",52,11833,"10,319",150,"1,364",46,74,"4,954","16,787", 769 , 704 , 7 , 58 , 6 , - , 277 ," 1,046 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.3.10,일,,"6,387","2,867","9,254",42,6017,"5,169",86,762,42,0,"2,787","8,804", 370 , 343 , - , 27 , - , - , 80 , 450 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.3.11,월,,420,605,"1,025",10,411,390,8,13,10,0,581,992, 9 , 9 , - , - , - , - , 24 , 33 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
