구  분,,,월관람객수,,,,"동,식물원",,,,,,,,돌고래쇼,,,,,,,,테마가든,,,,,,,,캠프입장,,,,,,,,자연학습교실,,,,,,,,기타,,,,,,,
,,,,,,,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계
날짜,요일,날씨,유료합계,무료합계,총계,외국인계,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,
2010-01-01,금,,"5,110",452,"5,562",4,"4,063","2,893",149,"1,021",0,"2,010",411,"4,474",748,505,44,199,4,0,41,789,299,251,10,38,0,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-02,토,,"3,790","1,051","4,841",0,"2,530","1,880",148,502,0,0,"1,000","3,530",772,557,22,193,0,0,49,821,488,389,16,83,0,0,2,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-03,일,,"3,715","1,087","4,802",18,"2,425","1,856",134,435,4,110,"1,025","3,450",859,617,31,211,14,0,60,919,431,350,12,69,0,0,2,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-04,월,,193,278,471,0,178,165,11,2,0,70,274,452,5,5,0,0,0,0,2,7,10,10,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-05,화,,"3,779",431,"4,210",2,"3,742","1,927",19,"1,796",0,"3,560",425,"4,167",12,11,0,1,2,0,2,14,25,25,0,0,0,0,4,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-06,수,,199,475,674,2,158,107,7,44,2,58,475,633,10,9,0,1,0,0,0,10,31,27,0,4,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-07,목,,176,411,587,0,131,87,15,29,0,0,409,540,35,20,2,13,0,0,0,35,10,8,0,2,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-08,금,,399,472,871,0,270,173,53,44,0,0,469,739,76,39,22,15,0,0,3,79,38,28,1,9,0,0,0,38,0,0,0,0,0,0,0,0,15,0,0,15,0,0,0,15,0,0,0,0,0,0,0,0
2010-01-09,토,,"1,984","1,088","3,072",2,"1,327",975,83,269,1,0,"1,054","2,381",390,263,18,109,1,0,30,420,246,194,2,50,0,0,4,250,0,0,0,0,0,0,0,0,21,0,0,21,0,0,0,21,0,0,0,0,0,0,0,0
