구  분,,,월관람객수,,,,"동,식물원",,,,,,,,돌고래쇼,,,,,,,,테마가든,,,,,,,,캠프입장,,,,,,,,자연학습교실,,,,,,,,기타,,,,,,,
,,,,,,,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계
날짜,요일,날씨,유료합계,무료합계,총계,외국인계,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,
2012-01-01,일,,"2,820","2,997","5,817",907,"2,010","1,562",144,304,891,"1,015","1,949","3,959",794,613,53,128,16,0,"1,043","1,837",16,12,1,3,0,0,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-02,월,,985,708,"1,693",9,729,547,71,111,9,84,682,"1,411",256,180,24,52,0,0,21,277,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-03,화,,617,929,"1,546",10,459,330,63,66,8,0,898,"1,357",158,103,29,26,2,0,18,176,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-04,수,,436,710,"1,146",22,274,212,34,28,12,0,703,977,80,55,14,11,10,0,5,85,6,5,0,1,0,0,2,8,0,0,0,0,0,0,0,0,76,0,0,76,0,0,0,76,0,0,0,0,0,0,0,0
2012-01-05,목,,485,693,"1,178",2,331,253,18,60,2,0,643,974,82,46,4,32,0,40,48,130,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,72,0,0,72,0,0,0,72,0,0,0,0,0,0,0,0
2012-01-06,금,,"3,194",935,"4,129",12,"2,960",832,74,"2,054",7,"2,409",919,"3,879",193,128,17,48,5,0,15,208,2,1,0,1,0,0,1,3,0,0,0,0,0,0,0,0,39,0,0,39,0,0,0,39,0,0,0,0,0,0,0,0
2012-01-07,토,,"3,008","1,529","4,537",49,"2,112","1,619",119,374,35,0,"1,409","3,521",887,650,46,191,14,0,104,991,9,7,0,2,0,0,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-08,일,,"3,502","1,622","5,124",22,"2,427","1,925",130,372,17,0,"1,494","3,921","1,060",805,54,201,5,0,120,"1,180",15,11,1,3,0,0,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-09,월,,772,915,"1,687",2,564,396,69,99,1,34,877,"1,441",200,133,16,51,1,0,32,232,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0
2012-01-10,화,,680,961,"1,641",5,516,373,63,80,5,0,933,"1,449",160,93,20,47,0,0,9,169,4,3,0,1,0,0,19,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-11,수,,494,740,"1,234",11,343,236,57,50,11,0,727,"1,070",105,71,17,17,0,0,12,117,2,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,44,0,0,44,0,0,0,44,0,0,0,0,0,0,0,0
2012-01-12,목,,688,793,"1,481",7,368,272,49,47,7,164,780,"1,148",251,171,54,26,0,161,13,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,69,0,0,0,69,0,0,0,0,0,0,0,0
2012-01-13,금,,"2,083",930,"3,013",8,"1,869","1,200",70,599,4,"1,340",915,"2,784",148,98,21,29,4,0,11,159,3,2,0,1,0,0,4,7,0,0,0,0,0,0,0,0,63,1,0,62,0,0,0,63,0,0,0,0,0,0,0,0
