구  분,,,월관람객수,,,,"동,식물원",,,,,,,,돌고래쇼,,,,,,,,테마가든,,,,,,,,캠프입장,,,,,,,,자연학습교실,,,,,,,,기타,,,,,,,
,,,,,,,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계
날짜,요일,날씨,유료합계,무료합계,총계,외국인계,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,
2011-01-25,화,,0,9,9,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-26,수,,252,531,783,0,207,128,56,23,0,0,522,729,45,23,16,6,0,0,9,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-27,목,,"1,728",517,"2,245",2,"1,627",819,61,747,2,"1,358",512,"2,139",101,62,29,10,0,0,5,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-28,금,,262,469,731,0,217,153,39,25,0,0,464,681,45,28,4,13,0,0,5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-29,토,,885,713,"1,598",0,665,541,50,74,0,85,677,"1,342",220,152,29,39,0,0,36,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-30,일,,744,455,"1,199",0,536,442,43,51,0,0,440,976,208,171,14,23,0,0,15,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-31,월,,374,417,791,0,276,188,52,36,0,0,410,686,98,71,16,11,0,0,7,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-01,화,,758,686,"1,444",0,600,472,77,51,0,0,670,"1,270",158,124,23,11,0,0,16,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-02,수,,"2,597","1,033","3,630",36,"1,863","1,474",116,273,28,0,892,"2,755",734,553,42,139,8,0,141,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-03,목,,"4,277",853,"5,130",18,"3,134","2,540",190,404,1,0,697,"3,831","1,143",940,61,142,17,0,156,"1,299",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-04,금,,"6,264","1,620","7,884",35,"4,456","3,687",211,558,25,0,"1,329","5,785","1,808","1,483",77,248,10,0,291,"2,099",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-05,토,,"8,055","2,476","10,531",11,"5,854","4,876",280,698,5,0,"2,088","7,942","2,201","1,771",102,328,6,0,388,"2,589",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-06,일,,"3,715","1,608","5,323",7,"2,646","2,203",155,288,1,0,"1,434","4,080","1,069",876,54,139,6,0,174,"1,243",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-07,월,,799,826,"1,625",0,605,525,57,23,0,0,789,"1,394",194,169,17,8,0,0,37,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-08,화,,762,"1,082","1,844",0,597,545,30,22,0,0,"1,036","1,633",165,152,2,11,0,0,46,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-09,수,,549,974,"1,523",0,419,367,36,16,0,0,959,"1,378",130,109,13,8,0,0,15,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,목,,"1,450",789,"2,239",3,"1,358",739,32,587,3,"1,076",780,"2,138",92,50,10,32,0,0,9,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-11,금,,453,682,"1,135",0,330,296,21,13,0,0,658,988,123,107,12,4,0,0,24,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-12,토,,"1,942","1,194","3,136",20,"1,393","1,088",154,151,0,0,"1,081","2,474",549,418,40,91,20,0,113,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-13,일,,"2,548","1,198","3,746",3,"1,859","1,532",138,189,3,0,"1,095","2,954",689,563,45,81,0,0,103,792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-14,월,,563,728,"1,291",0,429,347,71,11,0,0,715,"1,144",134,109,20,5,0,0,13,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-15,화,,748,974,"1,722",2,584,473,80,31,0,0,959,"1,543",164,121,28,15,2,0,15,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-16,수,,719,"1,045","1,764",4,539,431,77,31,2,0,995,"1,534",180,134,30,16,2,20,50,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-17,목,,"1,053","1,002","2,055",2,890,664,65,161,2,0,973,"1,863",163,137,7,19,0,0,29,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-18,금,,"1,280","1,006","2,286",0,970,768,105,97,0,0,973,"1,943",310,226,39,45,0,0,33,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-19,토,,"9,014","2,672","11,686",11,"6,496","5,412",271,813,6,90,"2,343","8,839","2,518","2,053",88,377,5,0,329,"2,847",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-20,일,,"15,348","3,738","19,086",18,"11,523","9,557",446,"1,520",11,69,"2,578","14,101","3,825","3,083",135,607,7,0,"1,160","4,985",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-21,월,,"3,438","1,460","4,898",1,"2,552","1,964",204,384,1,54,"1,289","3,841",886,648,62,176,0,0,169,"1,055",0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-22,화,,"4,014","1,803","5,817",0,"2,934","2,185",256,493,0,0,"1,551","4,485","1,074",758,91,225,0,0,235,"1,309",6,6,0,0,0,0,17,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-23,수,,"3,926","1,600","5,526",0,"2,849","2,211",230,408,0,0,"1,425","4,274","1,064",778,91,195,0,0,161,"1,225",13,13,0,0,0,0,14,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-24,목,,"5,360","1,864","7,224",0,"4,070","2,878",313,879,0,877,"1,560","5,630","1,290",902,120,268,0,0,296,"1,586",0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-25,금,,"3,843","1,522","5,365",3,"2,649","1,872",292,485,3,86,"1,362","4,011","1,194",819,131,244,0,0,158,"1,352",0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-26,토,,"12,650","4,300","16,950",3,"9,257","7,353",495,"1,409",1,114,"2,930","12,187","3,335","2,511",196,628,2,84,"1,343","4,678",58,49,0,9,0,0,26,84,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-27,일,,232,395,627,0,177,140,14,23,0,0,377,554,55,44,2,9,0,0,13,68,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-28,월,,"1,513",793,"2,306",0,"1,099",699,140,260,0,0,714,"1,813",414,268,57,89,0,0,74,488,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,화,,"5,183","1,417","6,600",0,"3,471","2,770",253,448,0,87,"1,228","4,699","1,707","1,347",102,258,0,33,182,"1,889",5,4,0,1,0,0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-02,수,,478,"1,092","1,570",0,348,324,11,13,0,139,"1,017","1,365",130,117,3,10,0,0,74,204,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-03,목,,728,776,"1,504",0,645,506,5,134,0,0,744,"1,389",82,72,2,8,0,0,31,113,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-04,금,,603,972,"1,575",0,428,415,5,8,0,0,922,"1,350",175,169,1,5,0,0,47,222,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-05,토,,"7,766","2,455","10,221",21,"5,418","5,041",70,307,5,0,"2,072","7,490","2,329","2,146",16,167,16,0,357,"2,686",19,18,0,1,0,0,26,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
