구  분,,,월관람객수,,,,"동,식물원",,,,,,,,돌고래쇼,,,,,,,,테마가든,,,,,,,,캠프입장,,,,,,,,자연학습교실,,,,,,,,기타,,,,,,,
,,,,,,,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계
날짜,요일,날씨,유료합계,무료합계,총계,외국인계,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,
2020.1.1,수,흐림,774,465,"1,239",772,767,650,30,87,764,0,452,"1,219",7,6,0,1,8,0,13,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.2,목,맑음,316,550,866,772,315,279,11,25,764,0,528,843,1,0,0,1,8,0,22,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.3,금,맑음,321,491,812,772,318,264,22,32,764,0,439,757,3,2,0,1,8,0,52,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.4,토,맑음,"1,128",931,"2,059",772,1117,935,42,140,764,0,915,"2,032",11,11,0,0,8,0,16,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.5,일,맑음,"1,520","1,201","2,721",772,1500,"1,281",30,189,764,0,"1,167","2,667",20,18,0,2,8,0,34,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.6,월,비,99,367,466,772,99,85,7,7,764,17,351,450,0,0,0,0,8,0,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.7,화,비,21,260,281,772,19,17,1,1,764,0,260,279,2,1,0,1,8,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.8,수,흐림,147,475,622,772,147,119,11,17,764,0,453,600,0,0,0,0,8,0,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.9,목,맑음,726,556,"1,282",772,721,482,32,207,764,0,535,"1,256",5,5,0,0,8,0,21,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.10,금,맑음,278,508,786,772,276,236,8,32,764,0,473,749,2,2,0,0,8,0,35,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.11,토,맑음,"1,109",852,"1,961",772,1101,927,47,127,764,0,828,"1,929",8,6,1,1,8,0,24,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.12,일,구름 많음,"1,179","1,001","2,180",772,1166,982,26,158,764,0,968,"2,134",13,12,0,1,8,0,33,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.13,월,맑음,250,482,732,772,248,188,19,41,764,0,462,710,2,2,0,0,8,0,20,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.14,화,구름 많음,229,666,895,772,225,180,13,32,764,111,655,880,4,4,0,0,8,0,11,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.15,수,맑음,298,559,857,772,296,198,45,53,764,60,552,848,2,2,0,0,8,0,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
