구  분,,,월관람객수,,,,"동,식물원",,,,,,,,돌고래쇼,,,,,,,,테마가든,,,,,,,,캠프입장,,,,,,,,자연학습교실,,,,,,,,기타,,,,,,,
,,,,,,,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계
날짜,요일,날씨,유료합계,무료합계,총계,외국인계,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,
2015.1.1,목,맑음,"1,143",502,"1,645",52,1141,929,71,141,52,0,496,"1,637",2,2,0,0,0,0,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.1.2,금,구름 많음,691,638,"1,329",4,674,509,53,112,0,0,637,"1,311",4,2,0,2,4,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.1.3,토,구름 조금,"2,048","1,340","3,388",46,1996,"1,634",104,258,45,60,"1,318","3,314",29,25,2,2,1,1,22,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.1.4,일,구름 많음,"3,392","1,935","5,327",28,3312,"2,763",144,405,28,30,"1,889","5,201",80,74,0,6,0,0,46,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.1.5,월,구름 많음,726,888,"1,614",45,707,565,32,110,45,0,871,"1,578",5,4,0,1,0,0,17,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.1.6,화,구름 조금,375,899,"1,274",19,369,244,47,78,17,50,886,"1,255",6,6,0,0,2,2,13,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.1.7,수,구름 조금,288,722,"1,010",14,288,213,52,23,14,0,718,"1,006",0,0,0,0,0,0,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.1.8,목,맑음,980,652,"1,632",24,980,590,36,354,24,665,648,"1,628",0,0,0,0,0,0,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.1.9,금,구름 조금,560,803,"1,363",16,532,421,40,71,16,0,788,"1,320",3,3,0,0,0,0,15,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.1.10,토,맑음,"3,015","1,880","4,895",28,2952,"2,459",139,354,28,56,"1,849","4,801",23,22,0,1,0,0,31,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.1.11,일,구름 조금,"2,845","1,670","4,515",47,2798,"2,327",119,352,47,0,"1,648","4,446",47,45,0,2,0,0,22,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.1.12,월,맑음,485,715,"1,200",2,466,365,34,67,2,0,700,"1,166",5,4,0,1,0,0,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.1.13,화,구름 조금,598,"1,066","1,664",15,587,429,65,93,15,0,"1,043","1,630",11,7,0,4,0,0,23,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.1.14,수,구름 많음,678,"1,068","1,746",19,669,526,60,83,19,0,"1,052","1,721",0,0,0,0,0,0,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.1.15,목,구름 많음,"2,745","1,123","3,868",20,2737,"1,656",92,989,20,"1,872","1,097","3,834",8,7,0,1,0,0,26,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.1.16,금,구름 많음,352,565,917,14,292,224,40,28,14,0,563,855,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.1.17,토,맑음,"1,870","1,471","3,341",68,1803,"1,404",140,259,68,32,"1,451","3,254",8,8,0,0,0,0,20,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.1.18,일,구름 조금,"2,187","1,462","3,649",60,2156,"1,747",130,279,58,0,"1,453","3,609",11,11,0,0,2,2,9,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.1.19,월,맑음,503,716,"1,219",25,496,382,51,63,25,0,706,"1,202",7,7,0,0,0,0,10,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.1.20,화,맑음,659,987,"1,646",25,653,493,61,99,25,0,974,"1,627",6,6,0,0,0,0,13,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.1.21,수,흐림,664,"1,034","1,698",27,657,509,61,87,27,0,"1,017","1,674",7,7,0,0,0,0,17,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.1.22,목,구름 많음,691,989,"1,680",13,691,490,59,142,13,0,973,"1,664",0,0,0,0,0,0,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.1.23,금,맑음,808,884,"1,692",22,749,531,107,111,21,0,866,"1,615",7,6,1,0,1,1,18,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.1.24,토,구름 많음,"4,910","2,583","7,493",73,4786,"3,903",201,682,66,30,"2,537","7,323",85,78,0,7,7,7,46,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.1.25,일,흐림,"1,709","1,155","2,864",44,1684,"1,352",121,211,42,0,"1,147","2,831",5,5,0,0,2,2,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.1.26,월,흐림,681,721,"1,402",46,681,491,92,98,46,0,718,"1,399",0,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.1.27,화,맑음,552,956,"1,508",34,547,407,82,58,34,0,941,"1,488",5,2,0,3,0,0,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.1.28,수,맑음,456,807,"1,263",8,454,329,87,38,8,0,780,"1,234",2,2,0,0,0,0,27,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.1.29,목,구름 많음,502,759,"1,261",32,502,389,69,44,32,0,754,"1,256",0,0,0,0,0,0,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.1.30,금,구름 많음,"2,161",792,"2,953",20,2141,"1,144",205,792,20,"1,638",789,"2,930",4,4,0,0,0,0,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.1.31,토,맑음,"2,018","1,238","3,256",31,1989,"1,621",142,226,31,125,"1,218","3,207",9,9,0,0,0,0,20,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.2.1,일,맑음,"3,414","1,614","5,028",101,3328,"2,772",199,357,98,0,"1,560","4,888",68,60,2,6,3,0,54,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.2.2,월,구름 조금,715,956,"1,671",27,708,578,91,39,27,0,951,"1,659",7,7,0,0,0,0,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
