구  분,,,월관람객수,,,,"동,식물원",,,,,,,,돌고래쇼,,,,,,,,테마가든,,,,,,,,캠프입장,,,,,,,,자연학습교실,,,,,,,,기타,,,,,,,
,,,,,,,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계
날짜,요일,날씨,유료합계,무료합계,총계,외국인계,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,
2017-03-28,화,구름 많음,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-29,수,구름 조금,0,7,7,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-30,목,구름 조금,"1,302","1,067","2,369",96,1258,"1,146",13,99,90,115,"1,024","2,282",44,41,0,3,6,0,43,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,금,비,727,572,"1,299",41,723,382,328,13,41,270,559,"1,282",4,4,0,0,0,0,13,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-01,토,비,"13,317","3,753","17,070",100,12768,"11,155",204,"1,409",84,30,"3,449","16,217",549,503,0,46,16,0,304,853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-02,일,맑음,"22,166","10,291","32,457",164,21053,"18,128",414,"2,511",134,0,"9,598","30,651","1,113",979,9,125,30,0,693,"1,806",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-03,월,맑음,"1,960","1,072","3,032",27,1894,"1,815",18,61,27,0,"1,015","2,909",66,63,0,3,0,0,57,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-04,화,구름 조금,"2,199","1,377","3,576",97,2139,"2,000",68,71,89,260,"1,296","3,435",60,54,0,6,8,0,81,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-05,수,비,459,608,"1,067",17,457,342,105,10,17,190,593,"1,050",2,2,0,0,0,0,15,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-06,목,흐림,702,901,"1,603",14,695,580,85,30,13,138,861,"1,556",7,7,0,0,1,0,40,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
