구  분,,,월관람객수,,,,"동,식물원",,,,,,,,돌고래쇼,,,,,,,,테마가든,,,,,,,,캠프입장,,,,,,,,자연학습교실,,,,,,,,기타,,,,,,,
,,,,,,,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계
날짜,요일,날씨,유료합계,무료합계,총계,외국인계,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,
2008-10-19,일,,"36,337","4,204","40,541",27,"24,844","18,165",728,"5,951",6,419,"2,616","27,460","6,096","4,182",123,"1,791",12,45,"1,142","7,238","4,400","3,361",78,961,9,0,446,"4,846",946,593,92,261,0,0,0,946,50,6,0,44,0,0,0,50,1,1,0,0,0,0,0,1
2008-10-20,월,,"16,665","2,003","18,668",7,"13,050","2,411",825,"9,814",0,"2,007","1,500","14,550","2,180",871,36,"1,273",0,"1,109",144,"2,324",834,540,14,280,7,136,359,"1,193",361,354,0,7,0,180,0,361,240,0,0,240,0,0,0,240,0,0,0,0,0,0,0,0
2008-10-21,화,,"21,280","3,102","24,382",22,"16,895","2,695","1,967","12,233",7,"11,662","1,897","18,792","3,202","1,105",491,"1,606",6,"1,994",723,"3,925",766,568,1,197,9,115,482,"1,248",309,272,37,0,0,120,0,309,108,0,0,108,0,0,0,108,0,0,0,0,0,0,0,0
2008-10-22,수,,"5,170","2,421","7,591",0,"3,423",760,"2,181",482,0,"2,625","2,089","5,512","1,475","1,137",63,275,0,252,127,"1,602",192,150,0,42,0,0,205,397,79,36,31,12,0,33,0,79,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
2008-10-23,목,,"8,693","1,347","10,040",0,"6,329",502,"4,138","1,689",0,"5,283",895,"7,224","1,823",207,294,"1,322",0,"1,246",232,"2,055",216,131,81,4,0,81,220,436,259,104,0,155,0,144,0,259,66,0,0,66,0,66,0,66,0,0,0,0,0,0,0,0
2008-10-24,금,,"17,224","2,315","19,539",35,"12,080","2,239","7,850","1,991",35,"9,691","1,681","13,761","3,486",492,"1,605","1,389",0,"2,597",396,"3,882",815,368,7,440,0,371,238,"1,053",742,174,451,117,0,391,0,742,101,0,0,101,0,20,0,101,0,0,0,0,0,0,0,0
2008-10-25,토,,"16,996","3,821","20,817",9,"10,381","6,802",623,"2,956",8,"1,132","2,320","12,701","4,673","2,810",341,"1,522",0,242,"1,014","5,687","1,170",765,52,353,0,30,487,"1,657",691,412,118,161,1,120,0,691,80,0,0,80,0,0,0,80,1,1,0,0,0,1,0,1
2008-10-26,일,,"33,104","4,244","37,348",34,"22,624","16,714",712,"5,198",14,637,"2,607","25,231","6,053","4,113",187,"1,753",20,198,861,"6,914","3,822","2,944",69,809,0,0,776,"4,598",601,404,99,98,0,191,0,601,0,0,0,0,0,0,0,0,4,4,0,0,0,2,0,4
2008-10-27,월,,"5,298","1,970","7,268",12,"3,565","2,081",689,795,8,"1,475","1,544","5,109",916,542,12,362,4,230,179,"1,095",498,375,8,115,0,85,247,745,319,312,0,7,0,100,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-28,화,,"9,768","2,174","11,942",1,"7,180","2,502","2,083","2,595",0,"3,579","1,636","8,816","1,388",699,73,616,0,445,208,"1,596",520,334,3,183,1,162,330,850,531,348,183,0,0,159,0,531,149,0,0,149,0,0,0,149,0,0,0,0,0,0,0,0
