구  분,,,월관람객수,,,,"동,식물원",,,,,,,,돌고래쇼,,,,,,,,테마가든,,,,,,,,캠프입장,,,,,,,,자연학습교실,,,,,,,,기타,,,,,,,
,,,,,,,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계
날짜,요일,날씨,유료합계,무료합계,총계,외국인계,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,
2009-01-01,토,,"40,711","9,237","49,948",82,"29,384","24,927","2,126","2,331",57,"1,791","6,123","35,507","7,006","6,204",101,701,22,0,"2,813","9,819","3,388","3,185",52,151,3,30,280,"3,668",633,476,25,132,0,0,21,654,299,5,293,1,0,141,0,299,1,1,0,0,0,1,0,1
2009-01-02,일,,"47,815","9,459","57,274",67,"35,660","28,705","1,147","5,808",44,803,"6,561","42,221","7,483","5,689",199,"1,595",23,314,"2,613","10,096","3,896","3,521",34,341,0,92,285,"4,181",774,562,28,184,0,0,0,774,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2
2009-01-03,월,,"6,263","2,593","8,856",1,"3,963","2,109",937,917,1,"1,726","2,038","6,001","1,792",819,20,953,0,839,411,"2,203",216,180,2,34,0,49,141,357,111,29,70,12,0,0,3,114,180,0,0,180,0,180,0,180,1,1,0,0,0,0,0,1
2009-01-04,화,,"17,762","6,284","24,046",23,"11,800","5,225","4,200","2,375",4,"7,111","4,141","15,941","4,235","2,127",174,"1,934",15,"2,318","1,844","6,079",671,601,6,64,0,110,291,962,614,156,394,64,4,389,8,622,442,1,264,177,0,442,0,442,0,0,0,0,0,0,0,0
2009-01-05,수,,"65,667","30,767","96,434",58,"50,002","46,960","3,036",6,32,0,"26,080","76,082","9,401","6,634",338,"2,429",26,0,"3,234","12,635","5,549","5,419",124,6,0,0,"1,253","6,802",714,623,48,43,0,0,200,914,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
2009-01-06,목,,"5,278","1,362","6,640",3,"3,586","1,550","1,390",646,0,"1,661","1,125","4,711","1,228",760,77,391,3,213,185,"1,413",144,127,3,14,0,0,52,196,320,43,263,14,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-07,금,,"19,537","4,921","24,458",24,"12,169","5,498","4,644","2,027",13,"5,552","3,472","15,641","5,112","2,463",774,"1,875",11,"2,140","1,009","6,121",894,692,6,196,0,160,428,"1,322",596,154,110,332,0,0,12,608,766,5,450,311,0,686,0,766,0,0,0,0,0,0,0,0
2009-01-08,토,,"37,414","7,376","44,790",46,"27,938","18,736","1,031","8,171",18,"10,905","4,855","32,793","6,709","4,892",290,"1,527",22,284,"2,067","8,776","2,038","1,847",32,159,4,266,442,"2,480",660,461,64,135,2,0,12,672,64,2,0,62,0,0,0,64,5,5,0,0,0,3,0,5
2009-01-09,일,,"31,391","6,728","38,119",90,"21,059","17,024","1,075","2,960",66,396,"4,171","25,230","7,604","6,027",335,"1,242",24,110,"2,345","9,949","2,174","1,967",52,155,0,0,212,"2,386",551,342,109,100,0,0,0,551,0,0,0,0,0,0,0,0,3,3,0,0,0,2,0,3
