구  분,,,월관람객수,,,,"동,식물원",,,,,,,,돌고래쇼,,,,,,,,테마가든,,,,,,,,캠프입장,,,,,,,,자연학습교실,,,,,,,,기타,,,,,,,
,,,,,,,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계
2009-01-10,월,,"5,882","2,236","8,118",10,"4,031","2,650","1,207",174,5,"1,534","1,720","5,751","1,306","1,057",57,192,5,259,380,"1,686",314,303,4,7,0,0,136,450,135,135,0,0,0,0,0,135,96,6,0,90,0,90,0,96,0,0,0,0,0,0,0,0
2009-01-11,화,,"8,825","4,422","13,247",4,"4,771","1,930","1,776","1,065",4,"3,659","3,160","7,931","2,383",963,8,"1,412",0,"1,227",867,"3,250",924,287,314,323,0,741,377,"1,301",53,53,0,0,0,20,18,71,692,16,0,676,0,664,0,692,2,2,0,0,0,1,0,2
2009-01-12,수,,"13,280","6,342","19,622",69,"9,554","3,299","1,379","4,876",3,"3,306","3,983","13,537","2,807","1,419",513,875,58,"1,887","1,616","4,423",782,462,235,85,8,646,724,"1,506",88,86,2,0,0,0,19,107,48,0,0,48,0,0,0,48,1,1,0,0,0,0,0,1
2009-01-13,목,,"11,308","7,727","19,035",16,"6,847","3,331","2,046","1,470",6,"5,281","4,750","11,597","3,134","1,352",372,"1,410",10,"2,280","1,981","5,115",841,450,0,391,0,849,957,"1,798",133,61,71,1,0,0,0,133,352,9,0,343,0,371,39,391,1,1,0,0,0,0,0,1
2009-01-14,금,,"13,693","8,438","22,131",29,"8,925","3,483","3,919","1,523",26,"6,797","5,312","14,237","3,315","1,588",203,"1,524",3,"2,603","2,483","5,798",723,507,6,210,0,324,633,"1,356",395,349,21,25,0,0,10,405,334,0,0,334,0,313,0,334,1,1,0,0,0,0,0,1
2009-01-15,토,,"25,240","7,527","32,767",62,"16,401","14,332",917,"1,152",11,"1,039","5,168","21,569","6,124","5,458",149,517,46,91,"1,936","8,060","2,004","1,830",98,76,3,68,360,"2,364",640,499,51,90,2,60,63,703,67,0,67,0,0,0,0,67,4,4,0,0,0,1,0,4
2009-01-16,일,,"36,124","8,517","44,641",38,"24,473","19,965","1,001","3,507",18,328,"5,194","29,667","7,846","6,162",286,"1,398",19,161,"2,876","10,722","2,927","2,689",30,208,1,110,397,"3,324",817,581,87,149,0,0,50,867,58,33,15,10,0,0,0,58,3,3,0,0,0,0,0,3
2009-01-17,월,,"12,181","2,780","14,961",22,"8,992","3,030","2,469","3,493",0,"4,562","2,109","11,101","2,434","1,118",663,653,6,929,295,"2,729",486,332,0,154,16,222,376,862,168,88,79,1,0,85,0,168,101,0,0,101,0,101,0,101,0,0,0,0,0,0,0,0
2009-01-18,화,,"2,703",825,"3,528",7,"2,009",236,"1,442",331,6,"1,811",577,"2,586",402,123,0,279,1,299,125,527,98,43,0,55,0,55,123,221,99,99,0,0,0,60,0,99,95,6,0,89,0,91,0,95,0,0,0,0,0,0,0,0
2009-01-19,수,,"6,302","3,361","9,663",16,"3,748","1,855","1,287",606,14,"2,157","2,432","6,180","1,883",845,79,959,2,"1,052",406,"2,289",326,243,0,83,0,318,507,833,200,86,0,114,0,113,16,216,145,0,0,145,0,122,0,145,0,0,0,0,0,0,0,0
2009-01-20,목,,"17,342","8,833","26,175",150,"11,507","3,440","5,520","2,547",150,"8,864","4,777","16,284","4,197","1,473",335,"2,389",0,"2,973","2,362","6,559",613,369,5,239,0,959,"1,694","2,307",531,100,316,115,0,0,0,531,493,6,0,487,0,487,0,493,1,1,0,0,0,0,0,1
2009-01-21,금,,"56,592","11,902","68,494",47,"43,470","33,320","1,986","8,164",40,646,"8,412","51,882","7,796","5,558",317,"1,921",7,261,"2,779","10,575","3,607","2,883",136,588,0,45,691,"4,298","1,709",956,119,634,0,0,20,"1,729",8,4,0,4,0,0,0,8,2,2,0,0,0,0,0,2
2009-01-22,토,,"34,461","8,810","43,271",46,"24,140","18,453",997,"4,690",16,323,"5,747","29,887","7,749","5,659",276,"1,814",29,26,"2,585","10,334","1,610","1,333",33,244,1,0,478,"2,088",830,571,30,229,0,0,0,830,130,17,30,83,0,43,0,130,2,2,0,0,0,0,0,2
2009-01-23,일,,"3,259",899,"4,158",31,"2,050","1,649",117,284,5,108,694,"2,744",880,690,44,146,26,57,136,"1,016",112,106,0,6,0,0,69,181,141,115,9,17,0,0,0,141,76,9,0,67,0,0,0,76,0,0,0,0,0,0,0,0
2009-01-24,월,,"2,634",949,"3,583",2,"2,046",481,"1,405",160,0,"1,705",730,"2,776",400,197,50,153,2,196,144,544,33,29,2,2,0,0,69,102,155,151,0,4,0,0,6,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-25,화,,"4,498","2,844","7,342",41,"2,845","1,251","1,318",276,38,"2,111","1,946","4,791",878,480,38,360,3,638,591,"1,469",146,132,2,12,0,0,289,435,282,282,0,0,0,230,18,300,347,0,0,347,0,237,0,347,0,0,0,0,0,0,0,0
2009-01-26,수,,"8,885","5,364","14,249",79,"5,676","2,709","2,506",461,0,"3,329","2,852","8,528","2,348","1,053","1,010",285,7,"1,686","1,213","3,561",629,452,2,175,72,670,"1,269","1,898",145,131,0,14,0,60,30,175,87,0,0,87,0,87,0,87,0,0,0,0,0,0,0,0
2009-01-27,목,,"7,329","6,467","13,796",16,"4,218","2,776",991,451,16,"2,540","3,401","7,619","1,811","1,165",31,615,0,"1,735","1,414","3,225",913,626,1,286,0,"1,251","1,632","2,545",90,89,0,1,0,60,20,110,296,6,0,290,0,290,0,296,1,1,0,0,0,0,0,1
2009-01-28,금,,"8,182","5,956","14,138",66,"4,686","2,838","1,352",496,34,"2,448","3,417","8,103","1,653","1,118",164,371,29,"1,018","1,253","2,906","1,119",894,10,215,3,535,"1,205","2,324",517,359,134,24,0,283,41,558,206,4,0,202,0,246,40,246,1,1,0,0,0,0,0,1
2009-01-29,토,,"26,431","6,119","32,550",41,"14,902","12,450","1,234","1,218",25,"1,793","3,728","18,630","5,406","4,858",110,438,14,145,"1,267","6,673","5,287","4,786",78,423,0,"1,136","1,089","6,376",751,586,89,76,2,0,35,786,81,4,34,43,0,0,0,81,4,4,0,0,0,2,0,4
2009-01-30,일,,"31,167","7,663","38,830",44,"18,450","14,952",744,"2,754",25,623,"4,464","22,914","6,429","5,034",246,"1,149",19,176,"1,886","8,315","5,467","4,721",97,649,0,39,"1,313","6,780",784,515,132,137,0,142,0,784,34,4,0,30,0,26,0,34,3,3,0,0,0,2,0,3
2009-01-31,월,,"5,513","2,789","8,302",53,"3,024","2,191",694,139,10,693,"1,713","4,737","1,047",949,25,73,43,0,247,"1,294","1,112","1,063",11,38,0,0,818,"1,930",202,172,3,27,0,45,11,213,128,0,0,128,0,75,0,128,0,0,0,0,0,0,0,0
2009-02-01,일,,"18,216","2,762","20,978",20,"13,052","9,918",415,"2,719",9,0,"1,829","14,881","4,517","3,214",146,"1,157",11,0,885,"5,402",609,457,8,144,0,0,48,657,0,0,0,0,0,0,0,0,38,30,0,8,0,0,0,38,0,0,0,0,0,0,0,0
2009-02-02,월,,"1,547","1,030","2,577",0,"1,166",856,143,167,0,0,988,"2,154",359,246,29,84,0,0,39,398,22,13,1,8,0,0,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-03,화,,"1,796","1,327","3,123",5,"1,350","1,015",158,177,1,0,"1,301","2,651",424,303,36,85,4,0,18,442,22,19,0,3,0,0,8,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-04,수,,"1,891","1,195","3,086",0,"1,345","1,072",131,142,0,0,"1,151","2,496",522,383,78,61,0,0,33,555,24,23,0,1,0,0,11,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-05,목,,"1,059",943,"2,002",0,769,552,125,92,0,0,927,"1,696",273,194,40,39,0,0,15,288,8,1,4,3,0,0,1,9,0,0,0,0,0,0,0,0,9,3,0,6,0,0,0,9,0,0,0,0,0,0,0,0
2009-02-06,금,,"1,604",927,"2,531",1,"1,234",899,179,156,0,99,901,"2,135",350,244,48,58,1,0,13,363,20,16,0,4,0,0,13,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-07,토,,"5,327","1,422","6,749",9,"3,657","2,854",167,636,3,0,"1,338","4,995","1,605","1,210",51,344,6,0,75,"1,680",54,42,0,12,0,0,9,63,0,0,0,0,0,0,0,0,11,6,3,2,0,0,0,11,0,0,0,0,0,0,0,0
2009-02-08,일,,"14,406","2,085","16,491",12,"10,185","7,777",307,"2,101",8,33,"1,490","11,675","3,850","2,822",90,938,2,0,571,"4,421",359,283,2,74,2,0,24,383,0,0,0,0,0,0,0,0,12,7,0,5,0,0,0,12,0,0,0,0,0,0,0,0
2009-02-09,월,,"1,169",983,"2,152",0,859,729,50,80,0,0,963,"1,822",299,244,15,40,0,0,14,313,11,9,0,2,0,0,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-10,화,,856,979,"1,835",0,633,478,32,123,0,48,968,"1,601",222,159,9,54,0,0,9,231,1,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-11,수,,892,993,"1,885",0,717,555,56,106,0,53,975,"1,692",149,111,16,22,0,0,13,162,26,21,0,5,0,0,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-12,목,,"1,018","1,033","2,051",2,736,552,87,97,2,35,"1,002","1,738",261,195,17,49,0,0,8,269,19,15,0,4,0,0,23,42,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2009-02-13,금,,22,184,206,0,17,14,0,3,0,0,178,195,5,4,0,1,0,0,5,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-14,토,,"6,888","1,665","8,553",1,"4,709","3,480",318,911,0,47,"1,549","6,258","2,080","1,456",119,505,1,16,81,"2,161",89,57,3,29,0,0,15,104,0,0,0,0,0,0,0,0,10,4,0,6,0,0,20,30,0,0,0,0,0,0,0,0
2009-02-15,일,,"3,551","1,178","4,729",13,"2,427","1,752",165,510,13,0,"1,112","3,539","1,088",762,64,262,0,0,66,"1,154",14,12,0,2,0,0,0,14,0,0,0,0,0,0,0,0,22,11,2,9,0,0,0,22,0,0,0,0,0,0,0,0
2009-02-16,월,,371,598,969,14,280,205,37,38,14,0,594,874,87,60,11,16,0,0,4,91,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-17,화,,416,590,"1,006",1,292,207,47,38,1,0,587,879,72,49,12,11,0,0,3,75,8,2,4,2,0,0,0,8,0,0,0,0,0,0,0,0,44,9,0,35,0,36,0,44,0,0,0,0,0,0,0,0
2009-02-18,수,,840,966,"1,806",1,583,411,88,84,0,0,947,"1,530",254,160,43,51,1,0,16,270,3,3,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-19,목,,584,765,"1,349",0,440,310,70,60,0,0,742,"1,182",126,79,24,23,0,0,20,146,8,8,0,0,0,0,3,11,0,0,0,0,0,0,0,0,10,1,0,9,0,0,0,10,0,0,0,0,0,0,0,0
2009-02-20,금,,395,624,"1,019",0,281,183,41,57,0,0,606,887,76,45,15,16,0,0,13,89,11,7,0,4,0,0,3,14,0,0,0,0,0,0,0,0,27,6,0,21,0,0,2,29,0,0,0,0,0,0,0,0
2009-02-21,토,,"3,912","1,250","5,162",12,"2,683","1,899",203,581,12,0,"1,189","3,872","1,193",773,85,335,0,0,59,"1,252",23,16,0,7,0,0,2,25,0,0,0,0,0,0,0,0,13,5,0,8,0,0,0,13,0,0,0,0,0,0,0,0
2009-02-22,일,,"5,789","1,125","6,914",7,"3,892","2,770",194,928,3,0,"1,049","4,941","1,823","1,228",96,499,4,0,65,"1,888",74,53,2,19,0,0,11,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-23,월,,"3,451","1,355","4,806",1,"2,491","1,708",205,578,0,0,"1,264","3,755",875,549,68,258,1,0,83,958,71,50,2,19,0,0,8,79,0,0,0,0,0,0,0,0,14,6,0,8,0,0,0,14,0,0,0,0,0,0,0,0
2009-02-24,화,,"2,183",995,"3,178",3,"1,527","1,003",161,363,2,0,955,"2,482",550,326,58,166,1,0,34,584,37,26,1,10,0,0,6,43,0,0,0,0,0,0,0,0,69,69,0,0,0,0,0,69,0,0,0,0,0,0,0,0
2009-02-25,수,,"3,197","1,124","4,321",2,"2,184","1,441",193,550,2,0,"1,070","3,254",970,585,71,314,0,0,44,"1,014",43,27,3,13,0,0,10,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-26,목,,"3,343","1,438","4,781",6,"2,206","1,375",231,600,0,30,"1,311","3,517","1,017",609,79,329,6,0,120,"1,137",31,20,1,10,0,0,7,38,0,0,0,0,0,0,0,0,89,89,0,0,0,0,0,89,0,0,0,0,0,0,0,0
2009-02-27,금,,"4,139","1,258","5,397",3,"2,904","1,879",247,778,0,59,"1,176","4,080","1,107",658,85,364,3,0,70,"1,177",100,61,2,37,0,0,12,112,0,0,0,0,0,0,0,0,28,0,0,28,0,0,0,28,0,0,0,0,0,0,0,0
2009-02-28,토,,"18,983","2,990","21,973",16,"13,585","10,019",465,"3,101",1,205,"2,021","15,606","4,740","3,277",145,"1,318",15,35,937,"5,677",552,416,8,128,0,0,32,584,0,0,0,0,0,0,0,0,106,4,0,102,0,0,0,106,0,0,0,0,0,0,0,0
2009-03-01,일,,"27,097","3,663","30,760",13,"19,497","14,838",510,"4,149",8,105,"2,296","21,793","6,701","4,853",142,"1,706",5,0,"1,303","8,004",899,675,4,220,0,0,64,963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-02,월,,"2,616","1,136","3,752",0,"1,717","1,372",23,322,0,0,"1,074","2,791",862,675,3,184,0,0,50,912,37,28,0,9,0,0,12,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-03,화,,188,603,791,0,140,124,1,15,0,0,596,736,37,29,0,8,0,0,4,41,3,2,0,1,0,0,3,6,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0
2009-03-04,수,,"1,341","1,240","2,581",7,924,829,4,91,7,0,"1,181","2,105",395,332,2,61,0,0,40,435,22,19,0,3,0,0,19,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-05,목,,267,852,"1,119",0,190,178,0,12,0,0,840,"1,030",53,48,0,5,0,0,12,65,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,22,0,0,22,0,0,0,22,0,0,0,0,0,0,0,0
2009-03-06,금,,667,842,"1,509",0,500,467,5,28,0,42,829,"1,329",158,145,2,11,0,0,11,169,9,8,0,1,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-07,토,,"9,323","2,548","11,871",10,"6,394","5,288",173,933,2,30,"2,026","8,420","2,751","2,232",41,478,8,0,505,"3,256",178,133,2,43,0,0,17,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-08,일,,"24,864","3,655","28,519",34,"17,576","13,479",356,"3,741",10,0,"2,039","19,615","6,491","4,749",121,"1,621",24,0,"1,396","7,887",797,604,4,189,0,0,220,"1,017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-09,월,,"2,156","1,347","3,503",3,"1,500","1,364",8,128,0,0,"1,250","2,750",631,562,0,69,3,0,77,708,25,24,0,1,0,0,20,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-10,화,,"1,770","1,473","3,243",2,"1,234","1,133",13,88,2,0,"1,346","2,580",494,432,1,61,0,0,113,607,30,23,0,7,0,0,14,44,0,0,0,0,0,0,0,0,12,0,0,12,0,0,0,12,0,0,0,0,0,0,0,0
2009-03-11,수,,"1,698","1,452","3,150",3,"1,190","1,102",4,84,0,0,"1,351","2,541",478,415,1,62,3,0,85,563,30,27,0,3,0,0,16,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-12,목,,"1,389","1,302","2,691",2,928,867,1,60,1,0,"1,150","2,078",418,376,0,42,1,0,134,552,29,25,0,4,0,0,18,47,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,14,0,0,0,0,0,0,0,0
2009-03-13,금,,243,360,603,0,188,173,2,13,0,30,335,523,48,43,0,5,0,0,19,67,7,2,0,5,0,0,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-14,토,,"5,247","1,669","6,916",5,"3,474","2,585",288,601,5,33,"1,566","5,040","1,539","1,117",104,318,0,33,90,"1,629",50,37,0,13,0,0,13,63,57,36,1,20,0,0,0,57,127,125,0,2,0,0,0,127,0,0,0,0,0,0,0,0
2009-03-15,일,,"15,827","2,226","18,053",19,"10,292","7,742",277,"2,273",6,151,"1,787","12,079","5,088","3,638",100,"1,350",13,0,417,"5,505",262,198,0,64,0,0,22,284,134,121,2,11,0,0,0,134,51,51,0,0,0,0,0,51,0,0,0,0,0,0,0,0
2009-03-16,월,,880,708,"1,588",1,587,567,4,16,1,0,647,"1,234",181,170,3,8,0,0,57,238,7,7,0,0,0,0,4,11,105,105,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-17,화,,"2,529","1,519","4,048",4,"1,766","1,544",114,108,1,153,"1,429","3,195",669,605,6,58,3,0,74,743,40,34,0,6,0,0,16,56,44,44,0,0,0,0,0,44,10,5,0,5,0,0,0,10,0,0,0,0,0,0,0,0
2009-03-18,수,,"1,351","1,135","2,486",1,985,876,20,89,0,0,"1,084","2,069",352,304,3,45,1,0,43,395,9,9,0,0,0,0,8,17,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-19,목,,"1,100","1,209","2,309",5,766,698,11,57,2,0,"1,063","1,829",292,257,3,32,3,0,134,426,12,11,0,1,0,0,12,24,30,30,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-20,금,,"4,666","1,580","6,246",0,"3,177","2,836",61,280,0,0,"1,404","4,581","1,297","1,141",20,136,0,0,133,"1,430",141,110,0,31,0,0,43,184,50,49,0,1,0,0,0,50,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
2009-03-21,토,,"36,341","4,682","41,023",16,"26,495","21,447",439,"4,609",10,324,"3,111","29,606","7,734","6,033",56,"1,645",5,32,"1,417","9,151","1,896","1,500",14,382,1,0,154,"2,050",215,185,0,30,0,0,0,215,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
2009-03-22,일,,"15,395","2,308","17,703",22,"10,460","8,022",376,"2,062",5,229,"1,671","12,131","4,384","3,152",168,"1,064",17,74,529,"4,913",450,297,48,105,0,55,108,558,101,87,5,9,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-23,월,,"2,434","1,643","4,077",14,"1,781","1,643",21,117,10,0,"1,493","3,274",612,555,7,50,4,0,127,739,40,33,0,7,0,0,23,63,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-24,화,,"1,122",948,"2,070",4,799,747,7,45,2,46,911,"1,710",289,262,5,22,2,0,33,322,9,5,0,4,0,0,4,13,7,7,0,0,0,0,0,7,18,3,0,15,0,0,0,18,0,0,0,0,0,0,0,0
2009-03-25,수,,"1,123","1,412","2,535",9,835,737,33,65,0,59,"1,303","2,138",263,230,6,27,9,0,106,369,22,18,0,4,0,0,3,25,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-26,목,,673,947,"1,620",0,484,435,12,37,0,0,823,"1,307",166,135,7,24,0,0,121,287,1,1,0,0,0,0,3,4,0,0,0,0,0,0,0,0,22,0,0,22,0,0,0,22,0,0,0,0,0,0,0,0
2009-03-27,금,,"2,860","1,492","4,352",0,"1,931","1,439",218,274,0,426,"1,381","3,312",858,634,173,51,0,155,107,965,33,24,0,9,0,0,4,37,38,36,1,1,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-28,토,,"30,948","5,123","36,071",27,"22,829","16,291",836,"5,702",16,659,"3,103","25,932","6,669","4,290",188,"2,191",11,282,"1,905","8,574","1,011",708,11,292,0,0,115,"1,126",308,165,69,74,0,0,0,308,130,76,0,54,0,0,0,130,1,1,0,0,0,0,0,1
2009-03-29,일,,"37,396","4,545","41,941",41,"28,420","21,214",788,"6,418",31,0,"2,642","31,062","7,351","5,115",171,"2,065",10,0,"1,809","9,160","1,353",969,20,364,0,0,94,"1,447",217,134,58,25,0,0,0,217,55,0,0,55,0,0,0,55,0,0,0,0,0,0,0,0
2009-03-30,월,,"2,858","1,783","4,641",1,"2,000","1,822",20,158,1,0,"1,669","3,669",796,697,9,90,0,0,99,895,47,40,0,7,0,0,15,62,15,8,0,7,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-31,화,,"3,239","1,652","4,891",0,"2,145","1,937",23,185,0,144,"1,470","3,615","1,003",745,2,256,0,95,170,"1,173",44,42,0,2,0,0,12,56,7,5,0,2,0,0,0,7,40,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0
2009-04-01,수,,"3,747","1,712","5,459",2,"2,577","1,675",290,612,2,554,"1,548","4,125","1,077",692,67,318,0,0,144,"1,221",85,72,0,13,0,0,20,105,8,7,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-04-02,목,,"5,763","2,347","8,110",0,"3,912","2,659",927,326,0,"1,032","2,023","5,935","1,357","1,000",5,352,0,240,276,"1,633",282,173,0,109,0,101,48,330,53,53,0,0,0,0,0,53,159,0,0,159,0,159,0,159,0,0,0,0,0,0,0,0
2009-04-03,금,,"8,085","2,247","10,332",6,"5,430","2,704","1,865",861,0,"2,568","1,874","7,304","1,921","1,074",152,695,6,420,317,"2,238",324,156,0,168,0,175,56,380,274,175,99,0,0,0,0,274,136,0,0,136,0,20,0,136,0,0,0,0,0,0,0,0
2009-04-04,토,,"29,313","4,882","34,195",48,"21,020","15,861","2,296","2,863",15,"2,044","2,690","23,710","6,613","5,241",124,"1,248",14,62,"2,088","8,701","1,369","1,113",13,243,4,0,104,"1,473",311,252,13,46,0,0,0,311,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
2009-04-05,일,,"49,391","4,298","53,689",61,"37,125","28,093",825,"8,207",29,94,"3,166","40,291","8,853","6,208",139,"2,506",29,34,947,"9,800","3,235","2,436",62,737,3,0,185,"3,420",178,136,5,37,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-04-06,월,,"9,199","2,608","11,807",8,"6,469","3,776","1,494","1,199",3,"1,836","2,219","8,688","2,388","1,483",18,887,5,359,295,"2,683",252,214,1,37,0,0,94,346,23,23,0,0,0,0,0,23,67,0,0,67,0,0,0,67,0,0,0,0,0,0,0,0
2009-04-07,화,,"10,134","3,779","13,913",10,"6,673","4,027",858,"1,788",8,"2,165","2,705","9,378","2,980","1,496",3,"1,481",2,873,899,"3,879",320,262,0,58,0,32,175,495,97,93,0,4,0,0,0,97,64,0,0,64,0,64,0,64,0,0,0,0,0,0,0,0
