구  분,,,월관람객수,,,,"동,식물원",,,,,,,,돌고래쇼,,,,,,,,테마가든,,,,,,,,캠프입장,,,,,,,,자연학습교실,,,,,,,,기타,,,,,,,
,,,,,,,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계
날짜,요일,날씨,유료합계,무료합계,총계,외국인계,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,
2014-01-01,수,구름 조금,"4,249","2,353","6,602",105,"4,233","3,504",203,526,105,0,"1,481","5,714",855,855,16,12,0,4,0,0,17,33,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-02,목,맑음,"1,235","1,505","2,740",28,"1,204",968,95,141,28,77,"1,246","2,450",242,242,31,26,0,5,0,0,17,48,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-03,금,구름 많음,"1,387","1,611","2,998",80,"1,351","1,034",113,204,80,36,"1,194","2,545",403,403,14,11,0,3,0,0,14,28,22,0,0,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-04,토,맑음,"4,180","3,379","7,559",80,"4,093","3,352",150,591,80,41,"2,472","6,565",860,860,67,51,3,13,0,0,47,114,20,20,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-05,일,구름 많음,"4,351","3,182","7,533",96,"4,279","3,552",195,532,94,0,"2,255","6,534",900,900,72,64,0,8,2,0,27,99,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-06,월,맑음,857,"1,310","2,167",23,837,658,75,104,23,0,"1,029","1,866",264,264,9,6,1,2,0,0,17,26,11,0,0,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-07,화,구름 많음,803,"1,423","2,226",19,788,616,68,104,19,40,"1,177","1,965",227,227,8,5,0,3,0,0,19,27,7,0,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-08,수,흐림,980,"1,044","2,024",27,958,596,48,314,26,599,938,"1,896",103,103,1,1,0,0,1,0,3,4,21,21,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-09,목,맑음,277,599,876,15,268,203,44,21,15,0,559,827,39,39,0,0,0,0,0,0,1,1,9,0,0,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-10,금,구름 조금,303,608,911,13,239,183,26,30,13,0,486,725,119,119,3,3,0,0,0,0,3,6,61,0,15,46,0,15,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-11,토,구름 많음,"2,285","2,070","4,355",42,"2,207","1,800",139,268,42,60,"1,638","3,845",402,402,36,32,0,4,0,0,30,66,42,19,0,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-12,일,구름 많음,"2,763","2,245","5,008",44,"2,744","2,281",166,297,44,30,"1,612","4,356",618,618,19,16,0,3,0,0,15,34,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-13,월,맑음,426,621,"1,047",25,406,312,56,38,23,0,517,923,98,98,3,3,0,0,2,0,6,9,17,0,0,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-14,화,맑음,498,962,"1,460",22,453,338,53,62,22,0,826,"1,279",127,127,0,0,0,0,0,0,9,9,45,28,0,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-15,수,맑음,704,"1,315","2,019",23,662,452,78,132,23,89,"1,005","1,667",293,293,3,3,0,0,0,0,17,20,39,0,0,39,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-16,목,구름 많음,"2,162","1,142","3,304",20,"2,123","1,329",68,726,20,"1,494",965,"3,088",175,175,0,0,0,0,0,0,2,2,39,0,0,39,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-17,금,맑음,760,902,"1,662",13,695,511,105,79,13,32,753,"1,448",148,148,0,0,0,0,0,0,1,1,65,0,0,65,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-18,토,맑음,"2,943","2,436","5,379",76,"2,852","2,339",186,327,75,64,"1,786","4,638",626,626,26,25,0,1,1,0,24,50,65,1,0,64,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-19,일,맑음,"2,775","2,003","4,778",52,"2,756","2,296",150,310,51,32,"1,423","4,179",564,564,19,17,0,2,1,0,16,35,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-20,월,눈,329,610,939,19,319,264,25,30,19,0,574,893,35,35,0,0,0,0,0,0,1,1,10,0,0,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-21,화,구름 많음,282,596,878,17,258,190,40,28,17,0,548,806,41,41,1,1,0,0,0,0,7,8,23,0,0,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-22,수,맑음,409,973,"1,382",12,389,316,48,25,12,0,827,"1,216",136,136,2,2,0,0,0,0,10,12,18,0,0,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-23,목,구름 조금,914,"1,199","2,113",20,875,565,52,258,20,336,"1,099","1,974",96,96,4,3,0,1,0,0,4,8,35,0,0,35,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-24,금,구름 많음,807,"1,085","1,892",18,750,563,73,114,18,0,872,"1,622",201,201,10,10,0,0,0,0,12,22,47,4,0,43,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-25,토,비,715,"1,092","1,807",9,654,550,35,69,9,30,974,"1,628",109,109,0,0,0,0,0,0,9,9,61,0,0,61,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-26,일,맑음,"3,327","2,473","5,800",103,"3,290","2,827",151,312,103,0,"1,755","5,045",682,682,37,30,3,4,0,0,36,73,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-27,월,맑음,670,"1,025","1,695",22,665,530,56,79,22,0,810,"1,475",212,212,0,0,0,0,0,0,3,3,5,0,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-28,화,구름 많음,549,"1,039","1,588",24,547,418,91,38,24,0,892,"1,439",142,142,2,1,1,0,0,0,5,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-29,수,맑음,789,"1,088","1,877",26,786,665,66,55,26,30,835,"1,621",244,244,3,3,0,0,0,0,9,12,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-03,월,맑음,0,11,11,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-04,화,구름 많음,"21,073","1,355","22,428",42,"21,049","1,024","7,506","12,519",40,"20,076","1,087","22,136",0,0,0,0,0,0,240,240,24,24,0,0,2,0,28,52,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-05,수,구름 조금,522,"1,097","1,619",34,520,504,8,8,34,0,957,"1,477",0,0,0,0,0,0,114,114,2,2,0,0,0,0,26,28,,,,,,,,,,,,,,,,,,,,,,,,
