구  분,,,월관람객수,,,,"동,식물원",,,,,,,,돌고래쇼,,,,,,,,테마가든,,,,,,,,캠프입장,,,,,,,,자연학습교실,,,,,,,,기타,,,,,,,
,,,,,,,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계
날짜,요일,날씨,유료합계,무료합계,총계,외국인계,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,
2018-1-1,월,맑음,"1,688",628,"2,316",40,1683,"1,375",99,209,40,0,619,"2,302",5,5,0,0,0,0,9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-2,화,구름 조금,403,585,988,22,401,342,15,44,22,119,578,979,2,2,0,0,0,0,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-3,수,구름 조금,192,502,694,4,191,153,22,16,4,0,502,693,1,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-4,목,흐림,165,506,671,14,163,132,9,22,14,1,488,651,2,2,0,0,0,0,18,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-5,금,구름 조금,189,569,758,8,188,145,12,31,8,0,567,755,1,1,0,0,0,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-6,토,맑음,968,967,"1,935",25,953,821,32,100,25,0,955,"1,908",15,15,0,0,0,0,12,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-7,일,흐림,922,959,"1,881",20,911,740,61,110,19,0,941,"1,852",11,9,0,2,1,0,18,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-8,월,흐림,193,441,634,13,188,146,13,29,13,0,432,620,5,4,0,1,0,0,9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-9,화,구름 많음,115,408,523,13,112,92,6,14,13,0,398,510,3,2,0,1,0,0,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-10,수,구름 조금,70,312,382,6,70,56,7,7,6,0,307,377,0,0,0,0,0,0,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-11,목,맑음,43,269,312,0,41,32,8,1,0,0,255,296,2,2,0,0,0,0,14,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-12,금,맑음,52,176,228,15,52,45,5,2,15,0,176,228,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-13,토,맑음,350,665,"1,015",3,346,295,18,33,3,0,663,"1,009",4,2,0,2,0,0,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-14,일,구름 많음,839,815,"1,654",2,832,706,32,94,2,0,805,"1,637",7,7,0,0,0,0,10,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-15,월,구름 조금,225,420,645,14,215,165,31,19,14,0,415,630,10,7,0,3,0,0,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-16,화,비,150,549,699,8,150,115,15,20,8,0,535,685,0,0,0,0,0,0,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-17,수,구름 조금,196,435,631,15,195,155,23,17,15,0,419,614,1,1,0,0,0,0,16,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
