구  분,,,월관람객수,,,,"동,식물원",,,,,,,,돌고래쇼,,,,,,,,테마가든,,,,,,,,캠프입장,,,,,,,,자연학습교실,,,,,,,,기타,,,,,,,
,,,,,,,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계
날짜,요일,날씨,유료합계,무료합계,총계,외국인계,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,
2013-01-01,화,,"1,366",731,"2,097",51,"1,355","1,089",95,171,43,0,595,"1,950",0,0,0,0,8,0,124,124,11,6,0,5,0,0,12,23,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2013-01-02,수,,199,474,673,18,197,162,18,17,12,36,445,642,0,0,0,0,6,0,29,29,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2013-01-03,목,,112,339,451,16,111,85,12,14,16,0,314,425,0,0,0,0,0,0,24,24,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2013-01-04,금,,201,415,616,11,186,130,27,29,7,0,366,552,0,0,0,0,4,0,46,46,0,0,0,0,0,0,3,3,15,15,0,0,0,0,0,15,,,,,,,,,,,,,,,,
2013-01-05,토,,879,"1,091","1,970",12,876,711,63,102,12,30,980,"1,856",0,0,0,0,0,0,108,108,3,2,0,1,0,0,3,6,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2013-01-06,일,,"1,527","1,430","2,957",23,"1,509","1,209",87,213,23,0,"1,220","2,729",0,0,0,0,0,0,200,200,18,17,0,1,0,0,10,28,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2013-01-07,월,,400,799,"1,199",16,397,297,31,69,16,0,749,"1,146",0,0,0,0,0,0,47,47,3,3,0,0,0,0,3,6,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2013-01-08,화,,452,"1,131","1,583",10,433,338,35,60,8,0,"1,047","1,480",0,0,0,0,2,0,77,77,0,0,0,0,0,0,7,7,19,0,0,19,0,0,0,19,,,,,,,,,,,,,,,,
2013-01-09,수,,218,716,934,2,185,138,25,22,2,52,687,872,0,0,0,0,0,0,28,28,0,0,0,0,0,0,1,1,33,0,0,33,0,0,0,33,,,,,,,,,,,,,,,,
2013-01-10,목,,221,598,819,10,196,152,14,30,10,0,551,747,0,0,0,0,0,0,39,39,0,0,0,0,0,0,8,8,25,0,0,25,0,0,0,25,,,,,,,,,,,,,,,,
2013-01-11,금,,414,862,"1,276",38,348,286,20,42,36,0,797,"1,145",0,0,0,0,2,0,60,60,1,1,0,0,0,0,5,6,65,0,0,65,0,0,0,65,,,,,,,,,,,,,,,,
