구  분,,,월관람객수,,,,"동,식물원",,,,,,,,돌고래쇼,,,,,,,,테마가든,,,,,,,,캠프입장,,,,,,,,자연학습교실,,,,,,,,기타,,,,,,,
,,,,,,,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계
날짜,요일,날씨,유료합계,무료합계,총계,외국인계,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,
2016-01-01,금,구름 조금,"3,359","1,023","4,382",47,3339,"2,782",141,416,47,0,999,"4,338",20,17,0,3,0,0,24,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-02,토,구름 많음,"5,173","2,092","7,265",100,5127,"4,328",203,596,100,111,"2,044","7,171",46,42,0,4,0,0,48,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-03,일,구름 많음,"3,008","1,549","4,557",91,2940,"2,505",128,307,91,0,"1,522","4,462",68,66,0,2,0,0,27,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-04,월,구름 많음,890,800,"1,690",51,886,598,53,235,51,223,794,"1,680",4,4,0,0,0,0,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-05,화,구름 많음,416,840,"1,256",43,414,318,35,61,43,47,821,"1,235",2,1,0,1,0,0,19,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-06,수,구름 조금,367,807,"1,174",34,364,274,41,49,34,0,791,"1,155",3,3,0,0,0,0,16,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-07,목,맑음,309,735,"1,044",13,300,241,23,36,13,0,729,"1,029",9,9,0,0,0,0,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-08,금,구름 조금,315,611,926,30,312,249,27,36,30,0,602,914,3,2,1,0,0,0,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-09,토,구름 많음,"1,418","1,222","2,640",47,1405,"1,214",78,113,47,80,"1,198","2,603",13,13,0,0,0,0,24,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-10,일,구름 많음,"2,211","1,393","3,604",34,2173,"1,804",96,273,34,61,"1,377","3,550",38,35,0,3,0,0,16,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-11,월,구름 조금,368,628,996,23,366,266,40,60,23,0,608,974,2,2,0,0,0,0,20,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-12,화,구름 조금,862,780,"1,642",12,860,530,27,303,10,614,749,"1,609",2,1,0,1,2,0,31,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-13,수,구름 많음,240,767,"1,007",24,240,192,21,27,24,0,742,982,0,0,0,0,0,0,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-14,목,구름 조금,252,620,872,13,245,196,35,14,9,5,616,861,7,4,2,1,4,0,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-15,금,구름 조금,339,708,"1,047",14,336,250,35,51,14,0,704,"1,040",3,3,0,0,0,0,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-16,토,구름 많음,"1,720","1,277","2,997",23,1713,"1,389",96,228,23,167,"1,259","2,972",7,6,1,0,0,0,18,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-17,일,흐림,"2,313","1,135","3,448",9,2285,"1,928",94,263,9,30,"1,117","3,402",28,26,0,2,0,0,18,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-18,월,구름 많음,216,592,808,9,216,162,29,25,9,0,590,806,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-19,화,맑음,78,222,300,13,78,61,9,8,13,0,217,295,0,0,0,0,0,0,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
