date,sulfur_dioxide_min,sulfur_dioxide_max,sulfur_dioxide_mean,sulfur_dioxide_median,carbon_monoxide_min,carbon_monoxide_max,carbon_monoxide_mean,carbon_monoxide_median,ozone_min,ozone_max,ozone_mean,ozone_median,nitrogen_dioxide_min,nitrogen_dioxide_max,nitrogen_dioxide_mean,nitrogen_dioxide_median,fine_dust_pm10_min,fine_dust_pm10_max,fine_dust_pm10_mean,fine_dust_pm10_median,rainfall_min,rainfall_max,rainfall_mean,rainfall_median,probability of precipitation_min,probability of precipitation_max,probability of precipitation_mean,probability of precipitation_median,humidity_min,humidity_max,humidity_mean,humidity_median,highest temperature_min,highest temperature_max,highest temperature_mean,highest temperature_median,lowest temperature_min,lowest temperature_max,lowest temperature_mean,lowest temperature_median,wind speed_min,wind speed_max,wind speed_mean,wind speed_median,wind direction_min,wind direction_max,wind direction_mean,wind direction_median,sky state_min,sky state_max,sky state_mean,sky state_median,weekday,visitor
2009-02-16,0.001,0.004,0.0019166666666666,0.002,0.2,0.4,0.3041666666666666,0.3,0.017,0.035,0.0279583333333333,0.03,0.004,0.023,0.0119583333333333,0.0104999999999999,8.0,59.0,26.33333333333333,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,80.0,46.18243243243244,40.0,8.0,19.0,12.842105263157896,14.0,-1.0,9.0,4.5625,8.5,0.8,6.0,1.9277027027027027,1.4,32.0,167.0,115.64864864864865,111.5,2.0,3.0,2.918918918918919,3.0,1.0,969
2009-03-01,0.002,0.013,0.006875,0.007,0.2,1.0,0.5541666666666667,0.45,0.001,0.047,0.0254166666666666,0.0265,0.011,0.047,0.0239999999999999,0.0235,10.0,82.0,44.125,44.5,0.0,0.0,0.0,0.0,0.0,20.0,4.1891891891891895,0.0,20.0,70.0,44.93243243243244,42.5,12.0,17.0,14.31578947368421,14.0,0.0,2.0,0.5,0.0,0.5,5.0,2.0027027027027025,2.0,174.0,267.0,227.695945945946,232.0,1.0,4.0,2.277027027027027,2.0,7.0,"30,760"
2009-03-10,0.005,0.005,0.005,0.005,0.2,0.6,0.4125,0.4,0.012,0.043,0.0264166666666666,0.0245,0.01,0.032,0.0194166666666666,0.018,30.0,108.0,53.8421052631579,48.0,0.0,0.0,0.0,0.0,10.0,60.0,22.56756756756757,20.0,15.0,70.0,38.98648648648648,45.0,16.0,18.0,17.63157894736842,18.0,2.0,4.0,3.0625,3.0,0.9,2.7,1.5804054054054055,1.4,14.0,144.0,102.08783783783784,110.5,1.0,3.0,2.554054054054054,3.0,2.0,"3,243"
2009-03-12,0.002,0.013,0.0064166666666666,0.006,0.3,1.6,0.7374999999999999,0.5,0.002,0.036,0.0162083333333333,0.012,0.016,0.066,0.042375,0.047,29.0,86.0,51.625,49.0,0.0,1.0,0.1052631578947368,0.0,0.0,0.0,0.0,0.0,15.0,75.0,43.98648648648648,42.5,13.0,18.0,15.842105263157896,18.0,2.0,7.0,4.8125,6.0,0.7,9.0,4.111486486486487,3.75,115.0,173.0,146.19594594594594,146.0,1.0,2.0,1.2702702702702702,1.0,4.0,"2,691"
2009-03-13,0.001,0.003,0.0013333333333333,0.001,0.3,0.6,0.4291666666666667,0.4,0.006,0.042,0.0248333333333333,0.023,0.01,0.042,0.0207083333333333,0.0175,10.0,85.0,30.75,28.0,0.0,5.0,1.6710526315789471,0.0,0.0,20.0,16.08108108108108,20.0,10.0,65.0,36.11486486486486,35.0,14.0,21.0,18.68421052631579,19.0,2.0,3.0,2.4375,2.0,0.4,4.0,1.612837837837838,1.35,8.0,352.0,170.26351351351352,169.0,2.0,4.0,2.506756756756757,2.0,5.0,603
2009-03-14,0.001,0.001,0.001,0.001,0.2,0.5,0.3041666666666666,0.3,0.011,0.042,0.0344166666666666,0.036,0.004,0.038,0.0100416666666666,0.008,12.0,96.0,55.79166666666666,62.0,0.0,0.0,0.0,0.0,0.0,20.0,17.364864864864863,20.0,30.0,75.0,51.0472972972973,50.0,19.0,22.0,20.894736842105264,21.0,3.0,8.0,5.1875,3.0,0.9,2.2,1.4695945945945943,1.3,22.0,137.0,78.08108108108108,77.0,1.0,2.0,1.2837837837837838,1.0,6.0,"6,916"
2009-03-18,0.004,0.006,0.0052083333333333,0.005,0.2,0.5,0.325,0.3,0.009,0.041,0.0302916666666666,0.0335,0.005,0.047,0.016,0.011,10.0,167.0,36.375,25.0,0.0,0.0,0.0,0.0,0.0,60.0,15.81081081081081,20.0,45.0,85.0,62.43243243243244,65.0,18.0,21.0,20.526315789473685,21.0,7.0,11.0,9.25,9.0,0.4,3.9,1.54527027027027,1.2,9.0,360.0,213.5675675675676,259.5,1.0,4.0,2.804054054054054,3.0,3.0,"2,486"
2009-03-19,0.005,0.007,0.0062916666666666,0.006,0.3,0.7,0.4541666666666666,0.45,0.001,0.033,0.0084166666666666,0.006,0.014,0.048,0.0334166666666666,0.036,9.0,86.0,42.833333333333336,44.0,0.0,0.0,0.0,0.0,0.0,20.0,2.2972972972972974,0.0,15.0,80.0,50.067567567567565,55.0,20.0,27.0,22.789473684210527,21.0,9.0,12.0,10.375,11.0,0.6,2.5,1.3641891891891893,1.2,4.0,360.0,244.99324324324328,313.0,4.0,4.0,4.0,4.0,4.0,"2,309"
2009-03-20,0.004,0.009,0.006625,0.006,0.3,0.9,0.4416666666666666,0.4,0.002,0.044,0.0250416666666666,0.0305,0.006,0.076,0.0309583333333333,0.022,6.0,102.0,32.34782608695652,24.0,0.0,0.0,0.0,0.0,30.0,80.0,50.67567567567568,45.0,25.0,80.0,57.567567567567565,62.5,21.0,28.0,26.26315789473684,27.0,8.0,12.0,9.8125,8.5,0.6,2.2,1.347972972972973,1.2999999999999998,15.0,160.0,110.83783783783784,113.5,1.0,4.0,1.6283783783783785,1.0,5.0,"6,246"
2009-03-21,0.004,0.011,0.0070416666666666,0.007,0.2,1.0,0.6583333333333333,0.75,0.001,0.053,0.0167916666666666,0.003,0.016,0.072,0.0471666666666666,0.0535,46.0,90.0,71.04347826086956,70.0,0.0,0.0,0.0,0.0,10.0,70.0,30.135135135135137,30.0,50.0,80.0,67.60135135135135,70.0,22.0,28.0,25.21052631578948,26.0,12.0,15.0,13.5625,13.0,0.5,2.3,1.3027027027027027,1.3,11.0,360.0,222.24324324324328,229.0,1.0,2.0,1.25,1.0,6.0,"41,023"
2009-03-23,0.001,0.005,0.003375,0.004,0.2,0.5,0.3583333333333333,0.4,0.006,0.043,0.0302916666666666,0.0325,0.007,0.036,0.0189166666666666,0.0185,13.0,65.0,32.857142857142854,32.0,0.0,0.0,0.0,0.0,0.0,60.0,17.027027027027028,10.0,35.0,85.0,61.95945945945946,60.0,13.0,25.0,18.473684210526315,19.0,8.0,13.0,10.8125,13.0,0.4,3.5,1.7567567567567568,1.5,258.0,326.0,291.0337837837838,293.0,1.0,2.0,1.0135135135135136,1.0,1.0,"4,077"
2009-03-24,0.001,0.004,0.0025,0.002,0.3,0.5,0.375,0.4,0.017,0.039,0.0307083333333333,0.0335,0.01,0.037,0.0197916666666666,0.0165,14.0,57.0,30.84210526315789,30.0,0.0,0.0,0.0,0.0,0.0,60.0,12.635135135135137,10.0,30.0,80.0,52.63513513513514,55.0,13.0,18.0,15.63157894736842,18.0,4.0,8.0,6.25,8.0,0.4,2.9,1.468243243243243,1.1,99.0,302.0,232.34459459459453,255.0,1.0,1.0,1.0,1.0,2.0,"2,070"
2009-03-25,0.001,0.005,0.0020869565217391,0.002,0.2,0.5,0.3625,0.4,0.006,0.051,0.0369166666666666,0.0395,0.006,0.041,0.0142916666666666,0.01,7.0,78.0,31.09090909090909,26.5,0.0,0.0,0.0,0.0,10.0,30.0,19.12162162162162,20.0,30.0,75.0,52.398648648648646,50.0,12.0,18.0,16.789473684210527,17.0,4.0,9.0,5.9375,4.0,0.4,2.4,1.3094594594594595,1.1,85.0,321.0,214.8783783783784,252.0,1.0,3.0,2.351351351351352,3.0,3.0,"2,535"
