date,sulfur_dioxide_min,sulfur_dioxide_max,sulfur_dioxide_mean,sulfur_dioxide_median,carbon_monoxide_min,carbon_monoxide_max,carbon_monoxide_mean,carbon_monoxide_median,ozone_min,ozone_max,ozone_mean,ozone_median,nitrogen_dioxide_min,nitrogen_dioxide_max,nitrogen_dioxide_mean,nitrogen_dioxide_median,fine_dust_pm10_min,fine_dust_pm10_max,fine_dust_pm10_mean,fine_dust_pm10_median
2008-10-24,0.002,0.004,0.0030000000000000005,0.003,0.1,0.3,0.12380952380952381,0.1,0.002,0.036,0.017916666666666668,0.019,0.006,0.033,0.015708333333333335,0.013000000000000001,5.0,39.0,11.625,10.0
2008-10-25,0.002,0.006,0.003625,0.003,0.2,0.4,0.2875,0.3,0.002,0.022,0.007124999999999999,0.005,0.023,0.043,0.033625,0.033,6.0,49.0,23.666666666666668,21.0
2008-10-26,0.003,0.008,0.00425,0.004,0.1,0.4,0.20869565217391303,0.2,0.004,0.043,0.025291666666666667,0.027,0.007,0.044,0.02025,0.0165,11.0,51.0,28.571428571428573,26.0
2008-10-27,0.003,0.006,0.0040416666666666665,0.004,0.1,0.5,0.23333333333333336,0.2,0.002,0.04,0.016291666666666666,0.0115,0.01,0.04,0.023749999999999997,0.020999999999999998,5.0,44.0,20.0,21.0
2008-10-28,0.002,0.005,0.0035833333333333338,0.004,0.1,0.6,0.3125,0.3,0.002,0.038,0.011250000000000001,0.0035,0.019,0.049,0.03191666666666667,0.028,11.0,55.0,32.333333333333336,33.0
2008-10-29,0.003,0.006,0.004583333333333333,0.004,0.2,0.7,0.44166666666666665,0.45,0.002,0.041,0.0105,0.0025,0.019,0.059,0.038875,0.0395,8.0,61.0,32.38095238095238,33.0
2008-10-30,0.002,0.008,0.00475,0.005,0.1,0.6,0.3625,0.35,0.002,0.043,0.01325,0.0035,0.011,0.049,0.03270833333333333,0.033,13.0,67.0,39.416666666666664,40.0
2008-10-31,0.005,0.007,0.0053750000000000004,0.005,0.3,0.8,0.5166666666666667,0.5,0.002,0.01,0.003857142857142857,0.003,0.027,0.049,0.041869565217391304,0.043,31.0,91.0,54.130434782608695,56.0
2008-11-01,0.004,0.007,0.0050416666666666665,0.005,0.1,0.8,0.5,0.5,0.002,0.045,0.011375000000000001,0.002,0.01,0.05,0.034083333333333334,0.039,14.0,56.0,36.875,39.5
2008-11-02,0.005,0.011,0.006333333333333333,0.006,0.1,0.7,0.3625,0.4,0.002,0.031,0.015208333333333332,0.015,0.011,0.045,0.028666666666666663,0.032,6.0,131.0,53.708333333333336,50.0
2008-11-03,0.004,0.011,0.005791666666666667,0.0055,0.1,0.6,0.32916666666666666,0.35,0.002,0.036,0.013541666666666667,0.010499999999999999,0.009,0.044,0.025875,0.027,7.0,81.0,35.875,30.5
2008-11-04,0.003,0.01,0.005833333333333334,0.006,0.1,0.6,0.3416666666666666,0.3,0.002,0.019,0.0072499999999999995,0.0045000000000000005,0.023,0.067,0.040625,0.035500000000000004,8.0,87.0,38.833333333333336,31.0
2008-11-05,0.005,0.013,0.00825,0.0095,0.2,1.1,0.6583333333333333,0.7,0.002,0.013,0.0037916666666666667,0.002,0.041,0.069,0.05570833333333333,0.054,22.0,126.0,62.333333333333336,57.0
2008-11-06,0.008,0.011,0.009458333333333334,0.01,0.3,0.7,0.49583333333333335,0.5,0.002,0.041,0.011166666666666667,0.006500000000000001,0.018,0.063,0.048625,0.05,57.0,95.0,75.375,77.0
