timestamp,sky state_min,sky state_max,sky state_mean,sky state_median
2019-05-14,1.0,3.0,2.340909090909091,2.0
2019-05-15,1.0,3.0,1.9166666666666667,2.0
2019-05-16,1.0,3.0,2.212121212121212,2.0
2019-05-17,1.0,3.0,1.446969696969697,1.0
2019-05-18,1.0,3.0,1.5151515151515151,2.0
2019-05-19,1.0,3.0,2.212121212121212,2.0
2019-05-20,1.0,3.0,2.553030303030303,3.0
2019-05-21,1.0,3.0,1.6143790849673203,1.0
2019-05-22,1.0,4.0,2.466666666666667,2.0
2019-05-23,1.0,4.0,2.6875,3.0
2019-05-24,1.0,3.0,1.875,2.0
2019-05-25,2.0,4.0,3.007575757575758,3.0
2019-05-26,1.0,4.0,2.9242424242424243,3.0
2019-05-27,1.0,4.0,3.015151515151515,3.0
2019-05-28,1.0,4.0,3.0833333333333335,3.0
2019-05-29,4.0,4.0,4.0,4.0
2019-05-30,1.0,4.0,3.4393939393939394,4.0
2019-05-31,1.0,4.0,2.8257575757575757,3.0
2019-06-01,1.0,3.0,1.7727272727272727,2.0
2019-06-02,2.0,4.0,3.257575757575758,3.0
2019-06-03,2.0,4.0,3.0606060606060606,3.0
2019-06-04,2.0,4.0,3.371212121212121,3.0
2019-06-05,2.0,4.0,2.621212121212121,3.0
2019-06-06,3.0,4.0,3.5681818181818183,4.0
2019-06-07,2.0,4.0,2.5984848484848486,3.0
2019-06-08,3.0,4.0,3.8863636363636362,4.0
2019-06-09,2.0,4.0,3.757575757575758,4.0
2019-06-10,2.0,4.0,3.1136363636363638,3.0
2019-06-11,2.0,4.0,2.628787878787879,3.0
2019-06-12,1.0,3.0,2.015151515151515,2.0
2019-06-13,1.0,3.0,1.878787878787879,2.0
2019-06-14,1.0,4.0,2.1136363636363638,2.0
2019-06-15,1.0,3.0,1.4090909090909092,1.0
2019-06-16,1.0,4.0,2.628787878787879,3.0
2019-06-17,2.0,4.0,3.765151515151515,4.0
2019-06-18,2.0,4.0,3.106060606060606,3.0
2019-06-19,2.0,4.0,3.371212121212121,3.0
2019-06-20,2.0,4.0,2.6126126126126126,3.0
2019-06-21,2.0,4.0,3.347826086956522,3.0
2019-06-22,3.0,4.0,3.6363636363636362,4.0
2019-06-23,3.0,4.0,3.4375,3.0
2019-06-24,1.0,4.0,2.871212121212121,3.0
2019-06-25,2.0,3.0,2.5454545454545454,3.0
