timestamp,wind direction_min,wind direction_max,wind direction_mean,wind direction_median
2019-06-02,22,360,122.22564102564102,90.0
2019-06-03,0,360,100.05113636363636,58.0
2019-06-04,0,308,75.51470588235294,90.0
2019-06-05,0,321,142.46212121212122,135.0
2019-06-06,45,360,206.8181818181818,255.0
2019-06-07,45,360,245.3939393939394,279.0
2019-06-08,0,360,205.4318181818182,273.0
2019-06-09,0,360,261.9848484848485,287.0
2019-06-10,0,320,228.7651515151515,270.0
2019-06-11,0,330,176.58333333333334,225.0
2019-06-12,0,315,204.21212121212122,270.0
2019-06-13,0,323,220.82575757575756,270.0
2019-06-14,0,315,215.75,263.0
2019-06-15,0,360,253.61363636363637,279.0
2019-06-16,0,360,171.04545454545453,149.0
2019-06-17,0,338,184.33333333333334,225.0
2019-06-18,6,360,143.3939393939394,62.0
2019-06-19,0,356,103.93939393939394,77.0
2019-06-20,0,328,133.67424242424244,90.0
2019-06-21,0,323,204.38636363636363,225.0
2019-06-22,0,360,180.1969696969697,180.0
2019-06-23,0,360,156.33333333333334,110.0
2019-06-24,0,291,103.70454545454545,90.0
2019-06-25,0,360,138.96969696969697,135.0
2019-06-26,0,360,144.9090909090909,135.0
2019-06-27,0,349,106.92424242424242,90.0
2019-06-28,0,360,140.68939393939394,108.0
2019-06-29,0,307,102.56060606060606,90.0
2019-06-30,0,323,93.77272727272727,90.0
2019-07-01,45,360,153.44144144144144,135.0
2019-07-02,45,360,268.536231884058,293.0
2019-07-03,125,360,276.64772727272725,290.0
2019-07-04,0,323,257.734375,273.0
2019-07-05,0,336,266.719696969697,278.0
2019-07-06,0,360,217.81060606060606,278.0
2019-07-07,0,360,122.26515151515152,45.0
2019-07-08,3,360,68.50757575757575,47.5
2019-07-09,6,360,160.24242424242425,98.0
2019-07-10,0,360,159.87121212121212,84.0
2019-07-11,0,360,159.8181818181818,45.0
2019-07-12,0,360,197.66666666666666,135.0
2019-07-13,0,338,236.62121212121212,270.0
2019-07-14,0,360,201.53787878787878,270.0
2019-07-15,0,360,246.92424242424244,287.0
2019-07-16,0,315,237.29545454545453,270.0
2019-07-17,0,315,226.3409090909091,225.0
2019-07-18,0,360,286.7121212121212,315.0
2019-07-19,76,315,242.78787878787878,243.0
2019-07-20,268,315,306.8636363636364,315.0
2019-07-21,24,336,251.7651515151515,270.0
2019-07-22,0,360,266.45454545454544,315.0
2019-07-23,0,360,203.58333333333334,225.0
2019-07-24,0,354,200.77272727272728,225.0
2019-07-25,0,349,103.35606060606061,84.0
2019-07-26,0,360,85.96212121212122,66.0
2019-07-27,0,360,194.84848484848484,270.0
2019-07-28,0,360,258.31060606060606,270.0
2019-07-29,0,315,190.61363636363637,225.0
2019-07-30,0,336,199.6590909090909,225.0
2019-07-31,8,360,100.6590909090909,81.0
2019-08-01,72,325,229.1437908496732,270.0
2019-08-02,0,345,283.9025641025641,304.0
2019-08-03,0,349,263.97727272727275,270.0
2019-08-04,0,338,210.11029411764707,225.0
2019-08-05,24,326,192.03787878787878,225.0
2019-08-06,45,360,219.32575757575756,225.0
2019-08-07,63,315,222.40151515151516,225.0
2019-08-08,30,360,170.66666666666666,111.0
2019-08-09,30,315,67.84848484848484,47.0
2019-08-10,22,90,52.97727272727273,49.0
2019-08-11,27,360,91.18939393939394,45.0
2019-08-12,28,135,75.93181818181819,72.0
2019-08-13,41,360,218.82575757575756,281.0
2019-08-14,266,318,307.8484848484849,315.0
2019-08-15,270,323,307.18939393939394,312.0
2019-08-16,278,360,316.72727272727275,315.0
2019-08-17,45,360,291.24242424242425,310.0
2019-08-18,0,347,233.75,277.0
2019-08-19,0,360,263.25,315.0
2019-08-20,0,360,235.12878787878788,288.0
2019-08-21,0,357,244.66666666666666,307.0
2019-08-22,37,356,217.34848484848484,225.0
2019-08-23,0,319,203.46212121212122,225.0
2019-08-24,0,319,220.9090909090909,225.0
2019-08-25,0,360,229.6818181818182,293.5
2019-08-26,0,360,215.0,276.0
2019-08-27,17,360,262.469696969697,307.0
2019-08-28,0,351,87.54545454545455,45.0
2019-08-29,0,360,160.47727272727272,95.5
