timestamp,probability of precipitation_min,probability of precipitation_max,probability of precipitation_mean,probability of precipitation_median
2019-06-03,20,80,37.878787878787875,30.0
2019-06-04,20,80,55.833333333333336,60.0
2019-06-05,0,30,8.56060606060606,0.0
2019-06-06,0,0,0.0,0.0
2019-06-07,0,10,0.6060606060606061,0.0
2019-06-08,0,60,21.363636363636363,20.0
2019-06-09,20,90,57.196969696969695,60.0
2019-06-10,10,60,29.46969696969697,20.0
2019-06-11,10,60,27.12121212121212,20.0
2019-06-12,0,20,11.590909090909092,10.0
2019-06-13,0,20,4.7727272727272725,0.0
2019-06-14,0,20,9.621212121212121,10.0
2019-06-15,0,20,4.7727272727272725,0.0
2019-06-16,0,10,2.196969696969697,0.0
2019-06-17,0,20,3.212121212121212,0.0
2019-06-18,0,20,14.545454545454545,20.0
2019-06-19,0,20,6.0606060606060606,0.0
2019-06-20,0,20,4.242424242424242,0.0
2019-06-21,0,70,39.24242424242424,30.0
2019-06-22,0,60,14.772727272727273,10.0
2019-06-23,0,20,5.984848484848484,0.0
2019-06-24,0,30,19.772727272727273,20.0
2019-06-25,0,30,19.242424242424242,20.0
2019-06-26,0,60,26.893939393939394,20.0
2019-06-27,0,30,15.0,20.0
2019-06-28,20,90,56.36363636363637,60.0
2019-06-29,0,70,33.18181818181818,30.0
2019-06-30,0,60,25.606060606060606,20.0
2019-07-01,0,30,7.575757575757576,10.0
2019-07-02,0,60,23.257575757575758,20.0
2019-07-03,0,60,20.303030303030305,20.0
2019-07-04,10,30,24.242424242424242,20.0
2019-07-05,0,30,15.681818181818182,20.0
2019-07-06,20,30,25.227272727272727,30.0
2019-07-07,0,30,14.015151515151516,20.0
2019-07-08,10,70,34.24242424242424,30.0
2019-07-09,10,90,61.74242424242424,80.0
2019-07-10,10,30,21.28787878787879,20.0
2019-07-11,0,20,13.333333333333334,20.0
2019-07-12,0,20,5.5227272727272725,3.0
2019-07-13,0,20,6.0606060606060606,0.0
2019-07-14,0,60,11.136363636363637,10.0
2019-07-15,0,30,3.257575757575758,0.0
2019-07-16,0,30,15.681818181818182,20.0
2019-07-17,10,90,47.121212121212125,30.0
2019-07-18,10,90,35.60606060606061,30.0
2019-07-19,10,60,25.90909090909091,20.0
2019-07-20,0,30,15.378787878787879,20.0
2019-07-21,0,70,33.484848484848484,30.0
2019-07-22,20,70,29.393939393939394,20.0
2019-07-23,0,60,22.348484848484848,20.0
2019-07-24,10,30,16.742424242424242,10.0
2019-07-25,10,60,26.439393939393938,20.0
2019-07-26,10,90,60.60606060606061,70.0
2019-07-27,10,80,31.439393939393938,20.0
2019-07-28,10,100,59.92424242424242,65.0
2019-07-29,0,20,12.575757575757576,10.0
2019-07-30,10,100,36.81818181818182,25.0
2019-07-31,10,100,64.4090909090909,70.0
2019-08-01,10,90,50.833333333333336,60.0
2019-08-02,20,90,57.72727272727273,60.0
2019-08-03,10,20,13.257575757575758,10.0
2019-08-04,10,30,17.87878787878788,20.0
2019-08-05,30,100,70.68181818181819,70.0
2019-08-06,20,100,59.39393939393939,60.0
2019-08-07,10,30,15.909090909090908,20.0
2019-08-08,10,80,43.25757575757576,30.0
2019-08-09,10,60,23.71212121212121,20.0
2019-08-10,0,20,12.348484848484848,10.0
2019-08-11,10,30,24.166666666666668,30.0
