timestamp,wind speed_min,wind speed_max,wind speed_mean,wind speed_median
2019-05-12,0.4,2.3,1.1742424242424243,1.0
2019-05-13,0.4,12.0,4.156060606060606,3.0
2019-05-14,0.5,15.0,5.303030303030303,4.0
2019-05-15,0.5,3.0,1.6507575757575759,2.0
2019-05-16,0.1,3.0,1.3575757575757574,1.2
2019-05-17,0.1,3.0,1.1431818181818183,1.0
2019-05-18,0.4,2.0,1.0787878787878789,1.0
2019-05-19,0.1,2.1,1.2492424242424243,1.0
2019-05-20,0.1,3.0,1.315909090909091,1.05
2019-05-21,0.4,4.0,1.6068181818181817,1.5
2019-05-22,0.5,8.0,2.3537878787878785,2.0
2019-05-23,0.1,3.0,1.821969696969697,2.0
2019-05-24,0.2,3.0,1.6636363636363636,2.0
2019-05-25,0.2,3.0,1.6174242424242424,2.0
2019-05-26,0.4,3.0,1.7075757575757575,2.0
2019-05-27,0.6,3.0,1.5772727272727272,1.6
2019-05-28,0.5,4.9,2.4234848484848484,2.0
2019-05-29,0.1,4.0,1.7696969696969695,2.0
2019-05-30,0.5,3.0,1.9128787878787878,2.0
2019-05-31,0.9,2.3,1.3583333333333334,1.0
2019-06-01,0.9,5.0,2.071212121212121,2.0
2019-06-02,0.5,3.0,1.5843137254901962,1.6
2019-06-03,0.5,4.0,1.261025641025641,1.0
2019-06-04,0.1,2.1,1.0,1.0
2019-06-05,0.2,2.1,1.026470588235294,1.0
2019-06-06,0.3,2.0,1.1696969696969697,1.0
2019-06-07,0.7,3.0,1.6939393939393939,2.0
2019-06-08,0.5,3.0,1.6037878787878788,1.6
2019-06-09,0.4,3.0,1.368939393939394,1.4
2019-06-10,0.2,3.0,1.509848484848485,1.4
2019-06-11,0.1,3.0,1.0424242424242425,1.0
2019-06-12,0.1,2.1,1.2893939393939393,1.3
2019-06-13,0.1,5.0,1.4719696969696972,1.0
2019-06-14,0.1,3.0,1.184090909090909,1.0
2019-06-15,0.1,2.5,1.2174242424242423,1.0
2019-06-16,0.4,3.2,1.3772727272727274,1.1
2019-06-17,0.1,2.5,0.9492424242424242,0.9
2019-06-18,0.3,2.0,0.996969696969697,1.0
2019-06-19,0.5,3.0,1.3643939393939393,1.1
2019-06-20,0.4,2.5,1.1568181818181817,1.0
2019-06-21,0.3,2.0,1.0606060606060606,1.0
2019-06-22,0.3,4.0,1.6977272727272728,1.6
2019-06-23,0.1,3.0,1.1954545454545455,1.0
2019-06-24,0.2,2.0,1.0015151515151515,1.0
2019-06-25,0.1,2.0,0.8560606060606061,0.7
2019-06-26,0.1,2.0,0.9742424242424242,1.0
2019-06-27,0.4,2.0,1.0113636363636365,1.0
2019-06-28,0.4,4.0,1.5924242424242423,1.1
2019-06-29,0.1,4.0,1.2818181818181817,1.0
2019-06-30,0.1,2.0,1.037121212121212,1.0
2019-07-01,0.4,2.0,1.0537878787878787,1.0
